"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_TPR_1","CB_Comp_TPR_1","lift_vol","base_doll","lift_doll","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Cross_non_normalised","Within_non_normalised","true_lift_doll","Within","Cross","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_2","CB_Comp_TPR_3","CB_Comp_TPR_4","CB_Comp_TPR_5","WB_Comp_RP_4","CB_Comp_RP_3"
"ITEM12BENEFUL_ROM","DW BENEFUL 10OZ","Wet Dog","NPP",0,0,1,"ROM","Fareway",NA,NA,NA,NA,2.32696391592509,2.32696391592509,0,0,0,0,0.70288,1.23485375003948,0,0,35,10228.9033264989,10228.9033264989,2,NA,NA,0.0465856986273195,0,23802.2889402491,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,2.32696391592509,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM12BENEFUL_ROM","DW BENEFUL 10OZ","Wet Dog","NPP",0,1,0,"ROM","Fareway",NA,NA,NA,NA,2.32696391592509,2.32696391592509,0,0,0,0,0.70288,1.22543149151943,0,0,31.9230769230769,9917.31695881519,9917.31695881519,2,NA,NA,0,0,23077.2387059549,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,2.32696391592509,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM12BENEFUL_ROM","DW BENEFUL 10OZ","Wet Dog","NPP",1,0,0,"ROM","Fareway",NA,NA,NA,NA,2.32696391592509,2.32696391592509,0,0,0,0,0.70288,1.1029319278099,0,0,28.9230769230769,9754.90908274596,9754.90908274596,2,NA,NA,0,0,22699.3214386798,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,2.32696391592509,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM12BENEFUL_ROM","DW BENEFUL 10OZ","Wet Dog","NPP",0,0,0,"ROM","Fareway",NA,NA,NA,NA,2.32696391592509,2.32696391592509,0,0,0,0,0.70288,1.05931831389168,0,0,26,9464.17333352102,9464.17333352102,2,NA,NA,0,0,22022.7898411639,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,2.32696391592509,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM226BELLA_Retailer","DW BELLA 03.5OZ","Wet Dog","NPP",0,0,1,"Retailer","Fareway",NA,4757.14285714286,0,NA,1,1,0.0246596048472594,0,0,0,0.590395,1.23485375003948,0.03295042117379,0.0412412375003206,35,690.432818908574,644.311984198485,2,NA,NA,0,46.120834710089,640.894176751147,31.420508456272,503.382543857286,0,443.591337425796,503.382543857286,58.8566970028329,58.8566970028329,1.33126728947631,9.38709164448333,30.0213069583873,NA,NA,18.118133701155,0.999364320941084,"2022-12-31",NA,0.691657657657658,4,4,0,NA,NA,NA,NA,NA,1.02323205807013,NA,NA,NA,NA,NA,NA,NA
"ITEM226BELLA_Retailer","DW BELLA 03.5OZ","Wet Dog","NPP",0,1,0,"Retailer","Fareway",NA,4763.07692307692,0,NA,1,1,0.0357142857142857,0,0,0,0.590395,1.22543149151943,0.0267857142857143,0.0178571428571429,31.9230769230769,660.661117342617,596.219475059341,2,NA,NA,0,64.4416422832768,592.634194858803,42.6473328493328,414.947449318608,0,389.680928753241,414.947449318608,22.5191156345029,22.5191156345029,1.92805135483896,13.0306315400133,37.2768627716524,NA,NA,25.3795896344814,0.999109853710548,"2022-09-24",NA,0.680402131782946,3,3,0,NA,NA,NA,NA,NA,1.02323205807013,NA,NA,NA,NA,NA,NA,NA
"ITEM226BELLA_Retailer","DW BELLA 03.5OZ","Wet Dog","NPP",1,0,0,"Retailer","Fareway",NA,6452.30769230769,0,NA,1,1,0,0,0,0,0.590395,1.1029319278099,0,0,28.9230769230769,690.849137319772,664.255614642774,2,NA,NA,0,26.5935226769971,664.216913095844,26.5730614456436,500.010364269881,0,455.308613808747,500.010364269881,44.6977196155509,44.6977196155509,0,0,26.5730614456436,NA,NA,0.0591627782836892,0.999914370365235,"2022-06-25",NA,0.705979971387697,2,2,0,NA,NA,NA,NA,NA,1.02323205807013,NA,NA,NA,NA,NA,NA,NA
"ITEM226BELLA_Retailer","DW BELLA 03.5OZ","Wet Dog","NPP",0,0,0,"Retailer","Fareway",NA,5970,0,NA,1,1,0,0,0,0,0.590395,1.05931831389168,0,0,26,690.86625661717,677.266879984447,2,NA,NA,0,13.5993766327233,677.266879984447,13.4459142713012,439.273047847781,0,417.42501393329,439.273047847781,21.8480339144917,21.8480339144917,0,0,13.4459142713012,NA,NA,0.153462361422076,0.999777968090843,"2022-03-26",NA,0.68893216080402,1,1,0,NA,NA,NA,NA,NA,1.02323205807013,NA,NA,NA,NA,NA,NA,NA
"ITEM226BELLA_ROM","DW BELLA 03.5OZ","Wet Dog","NPP",0,0,1,"ROM","Fareway",NA,NA,NA,NA,1.02323205807013,1.02323205807013,0,0,0,0,0.444005,1.23485375003948,0,0,35,4165.52301180335,4165.52301180335,2,NA,NA,0.0246596048472594,0,4262.29668430602,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.02323205807013,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM226BELLA_ROM","DW BELLA 03.5OZ","Wet Dog","NPP",0,1,0,"ROM","Fareway",NA,NA,NA,NA,1.02323205807013,1.02323205807013,0,0,0,0,0.444005,1.22543149151943,0,0,31.9230769230769,4164.93977747184,4164.93977747184,2,NA,NA,0.0357142857142857,0,4261.69990024066,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.02323205807013,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM226BELLA_ROM","DW BELLA 03.5OZ","Wet Dog","NPP",1,0,0,"ROM","Fareway",NA,NA,NA,NA,1.02323205807013,1.02323205807013,0,0,0,0,0.444005,1.1029319278099,0,0,28.9230769230769,4166.82405322301,4166.82405322301,2,NA,NA,0,0,4263.6279515955,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.02323205807013,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM226BELLA_ROM","DW BELLA 03.5OZ","Wet Dog","NPP",0,0,0,"ROM","Fareway",NA,NA,NA,NA,1.02323205807013,1.02323205807013,0,0,0,0,0.444005,1.05931831389168,0,0,26,4166.82405322301,4166.82405322301,2,NA,NA,0,0,4263.6279515955,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.02323205807013,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM23DOGCHOWML_Retailer","DW DOG CHOW ML 13 OZ 06CT","Wet Dog","NPP",0,0,1,"Retailer","Fareway",NA,1180.28571428571,0,NA,9.98,9.98,0.0186805255455986,0,0,0,0.12749,1.23485375003948,0.0252096454202395,0.0317387652948804,35,19.605957397618,17.3465670454098,2,NA,NA,NA,2.25939035220827,169.246807178775,22.5487157150385,65.5402380952381,0,24.9502103574164,65.5402380952381,24.1814507731569,24.1814507731569,0,0,22.5487157150385,NA,NA,3.87193193441422,9.98,"2022-12-31",NA,1.68168724279835,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM23DOGCHOWML_Retailer","DW DOG CHOW ML 13 OZ 06CT","Wet Dog","NPP",0,1,0,"Retailer","Fareway",NA,1098.46153846154,0,NA,9.98,9.98,0.0281254394599916,0,0,0,0.12749,1.22543149151943,0.0210940795949937,0.0140627197299958,31.9230769230769,19.7718869158798,19.7718869158798,2,NA,NA,NA,0,191.336284021956,0,178.294615384615,0,33.0991665486993,178.294615384615,117.218878051344,117.218878051344,0,0,0,NA,NA,5.98714739852426,9.97290385681939,"2022-09-24",NA,1.67,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM23DOGCHOWML_Retailer","DW DOG CHOW ML 13 OZ 06CT","Wet Dog","NPP",1,0,0,"Retailer","Fareway",NA,1765.38461538462,0,NA,9.98,9.98,0,0,0,0,0.12749,1.1029319278099,0,0,28.9230769230769,19.2930244877185,19.2930244877185,2,NA,NA,NA,0,192.44991175598,0,189.655384615385,0,34.0254064537592,189.655384615385,155.162340880253,155.162340880253,0,0,0,NA,NA,0.0944726314508674,9.97511064185568,"2022-06-25",NA,1.80155555555555,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM23DOGCHOWML_Retailer","DW DOG CHOW ML 13 OZ 06CT","Wet Dog","NPP",0,0,0,"Retailer","Fareway",NA,2312,0,NA,9.98,9.98,0,0,0,0,0.12749,1.05931831389168,0,0,26,19.2916986379602,19.2916986379602,2,NA,NA,NA,0,192.472406513945,0,179.066388888889,0,34.3066604649365,179.066388888889,144.569082747967,144.569082747967,0,0,0,NA,NA,0.0587458928980016,9.97695863940386,"2022-03-26",NA,1.81691176470588,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM23DOGCHOWML_ROM","DW DOG CHOW ML 13 OZ 06CT","Wet Dog","NPP",0,0,1,"ROM","Fareway",NA,NA,NA,NA,10.369,10.369,0,0,0,0,0.002835,1.23485375003948,0,0,35,9.48858046187095,9.48858046187095,1,NA,NA,NA,0,98.3870908091399,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,10.369,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM23DOGCHOWML_ROM","DW DOG CHOW ML 13 OZ 06CT","Wet Dog","NPP",0,1,0,"ROM","Fareway",NA,NA,NA,NA,10.369,10.369,0,0,0,0,0.002835,1.22543149151943,0,0,31.9230769230769,9.48858046187095,9.48858046187095,1,NA,NA,NA,0,98.3870908091399,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,10.369,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM23DOGCHOWML_ROM","DW DOG CHOW ML 13 OZ 06CT","Wet Dog","NPP",1,0,0,"ROM","Fareway",NA,NA,NA,NA,10.369,10.369,0,0,0,0,0.002835,1.1029319278099,0,0,28.9230769230769,9.48858046187095,9.48858046187095,1,NA,NA,NA,0,98.3870908091399,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,10.369,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM23DOGCHOWML_ROM","DW DOG CHOW ML 13 OZ 06CT","Wet Dog","NPP",0,0,0,"ROM","Fareway",NA,NA,NA,NA,10.369,10.369,0,0,0,0,0.002835,1.05931831389168,0,0,26,9.48858046187095,9.48858046187095,1,NA,NA,NA,0,98.3870908091399,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,10.369,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM248BELLA_Retailer","DW BELLA 03.5OZ 12CT","Wet Dog","NPP",0,0,1,"Retailer","Fareway",NA,2880,0,NA,12.94,12.94,0.0318897265243037,0,0,0,0.248175,1.23485375003948,0.0322366968425701,0.0324574961360123,35,38.4316011621406,28.7733087137302,2,NA,NA,NA,9.65829244841032,372.326614755669,107.893688866616,NA,0,NA,NA,NA,NA,0,0.724125605970029,107.169563260646,NA,NA,17.0846154158131,12.9345142857143,"2022-12-31",NA,0,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM248BELLA_Retailer","DW BELLA 03.5OZ 12CT","Wet Dog","NPP",0,1,0,"Retailer","Fareway",NA,6396.92307692308,0,NA,12.94,12.94,0.0237783854476281,0,0,0,0.248175,1.22543149151943,0.0178337890857211,0.011889192723814,31.9230769230769,37.9620165847199,33.9303761960106,2,NA,NA,NA,4.03164038870923,438.707114219658,39.5259465904846,NA,0,NA,NA,NA,NA,0,1.2491893120621,39.5259465904846,NA,NA,12.9954337961329,12.9303846153846,"2022-09-24",NA,0,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM248BELLA_Retailer","DW BELLA 03.5OZ 12CT","Wet Dog","NPP",1,0,0,"Retailer","Fareway",NA,5233.84615384615,0,NA,12.94,12.94,0,0,0,0,0.248175,1.1029319278099,0,0,28.9230769230769,36.567223048763,17.4197213220013,2,NA,NA,NA,19.1475017267617,225.411193906697,247.768672344296,NA,0,NA,NA,NA,NA,0,0,247.768672344296,0,0,0,12.94,"2022-06-25",NA,0,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM248BELLA_Retailer","DW BELLA 03.5OZ 12CT","Wet Dog","NPP",0,0,0,"Retailer","Fareway",NA,2070,0,NA,12.94,12.94,0,0,0,0,0.248175,1.05931831389168,0,0,26,36.5802689934975,36.2654272847552,2,NA,NA,NA,0.314841708742333,467.63672711234,4.07405171112579,NA,0,NA,NA,NA,NA,0,5.09255217117095,4.07405171112579,NA,NA,1.63790195239221,12.8953853082604,"2022-03-26",NA,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM248BELLA_ROM","DW BELLA 03.5OZ 12CT","Wet Dog","NPP",0,0,1,"ROM","Fareway",NA,NA,NA,NA,11.485206807011,11.485206807011,0,0,0,0,0.246285,1.23485375003948,0,0,35,286.623555201948,286.623555201948,2,NA,0,NA,0,3291.93080725511,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,11.485206807011,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
