"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_TPR_1","WB_Comp_TPR_2","WB_Comp_TPR_3","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_1","CB_Comp_TPR_2","CB_Comp_TPR_3","lift_vol","base_doll","lift_doll","true_lift_doll","Cross_predicted_normalised","Within_predicted_normalised","Cross_predicted_non_normalised","Within_predicted_non_normalised","gross_lift_on_pred","true_lift_on_pred","original_base_doll","original_base_vol","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Within","Cross","pred_vol_original","wk_sold_doll_byppg_original","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_TPR_4","WB_Comp_TPR_5","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_TPR_4","CB_Comp_TPR_5","CB_Comp_TPR_6","CB_Comp_TPR_7","CB_Comp_TPR_8","CB_Comp_TPR_9","WB_Comp_RP_5","WB_Comp_RP_6","WB_Comp_RP_7","CB_Comp_RP_6","CB_Comp_RP_7","WB_Comp_Interaction_RP_1"
"ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ","Cat Treats","NPP",0,0,1,"Retailer","ALBSCO",NA,8965.71428571429,4815,NA,3.29013439409127,3.23337352665433,0,0.000755714285714286,0.00106785714285714,0,0.484934285714286,1.24608783076042,0,0,35,6520.355,6295.05477593436,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225.300224065637,20580.4439597114,495.112468859988,495.112468859988,NA,NA,0,0,0,NA,20875.2328503811,6344.88835583736,13704.2217834627,888.803169404793,13230.6916276475,12815.418614058,472.92446480035,472.92446480035,NA,NA,6458.16749726373,20875.2328503811,378.279855415367,3.23225071399468,"2022-12-31",0.181241655540721,2.10174697259401,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ","Cat Treats","NPP",0,1,0,"Retailer","ALBSCO",NA,12267.6923076923,5840.76923076923,NA,3.24323858222344,3.21168363157262,0,0,0,0,0.473179230769231,1.15624417078623,0,0,31.9230769230769,5981.50153846154,5848.72543887961,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.776099581925,18853.8092678691,333.832270592473,333.832270592473,NA,NA,0,0,0,NA,19852.1618288683,6120.9458554049,12571.018471166,979.660334444547,12291.9560947383,11591.3581367214,277.948346252192,277.948346252192,NA,NA,6188.00870848856,19852.1618288683,215.10327272959,3.20804876675778,"2022-09-24",0.179790596602134,2.10156207674943,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ","Cat Treats","NPP",1,0,0,"Retailer","ALBSCO",NA,17436.9230769231,6900,NA,3.13019650162715,3.11250746359438,0,0,0.000929230769230769,0,0.443121538461538,1.10696580241641,0,0,28.9230769230769,5269,5237.5827838339,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.4172161660954,16159.9929628933,98.0662678759615,98.0662678759615,NA,NA,0,0,0,NA,17085.4586323502,5457.14399965804,11074.3149653297,387.807279034691,11008.2793616762,10686.507686295,66.035603653424,66.035603653424,NA,NA,5537.42955369707,17085.4586323502,236.864884952956,3.08542418278404,"2022-06-25",0.161304347826087,2.10172128110111,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ","Cat Treats","NPP",0,0,0,"Retailer","ALBSCO",NA,34710,8472.85714285714,NA,3.03016975847765,3.03007118587061,0,0,0,0,0.197655714285714,1.09682906102534,0,0,26.5714285714286,2143.14285714286,1484.77170827262,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,658.371148870234,4527.74864488453,2010.99421225833,2010.99421225833,NA,NA,0,0,0,NA,4734.29857492589,1553.63320333203,4503.57869267393,261.311428571429,3120.09817867001,4242.2672641025,1383.48051400392,1383.48051400392,NA,NA,1553.93763517125,4734.29857492589,0.633071746421861,3.02878267046445,"2022-03-26",0.159205867475974,2.10140210725604,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM108CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX CR 20OZ 2CT","Cat Treats","NPP",0,0,1,"ROM","ALBSCO",NA,NA,NA,NA,15.8539744345828,15.7652756675723,0,0,0,0,0.011855,1.24608783076042,0,0,35,1081,952.897147591588,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128.102852408412,14945.4834229193,2004.2344342236,2004.2344342236,NA,NA,0,0,0,NA,15088.3394911643,962.046672190186,NA,0,NA,NA,NA,NA,NA,NA,962.046672190186,15088.3394911643,188.393598683403,15.6835836839541,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM108CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX CR 20OZ 2CT","Cat Treats","NPP",0,1,0,"ROM","ALBSCO",NA,NA,NA,NA,15.7961942326271,15.7932508847844,0,0,0.000782307692307692,0,0.0116769230769231,1.15624417078623,0,0,31.9230769230769,936.769230769231,925.685686914683,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.0835438545479,14610.6560812919,174.792380246554,174.792380246554,NA,NA,0,0,0,NA,15305.00208289,969.679312030029,NA,0,NA,NA,NA,NA,NA,NA,969.679312030029,15305.00208289,12.0698869850869,15.7836258310486,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM108CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX CR 20OZ 2CT","Cat Treats","NPP",1,0,0,"ROM","ALBSCO",NA,NA,NA,NA,15.6167848967126,15.6069863141319,0.0229535827877041,0.00136,0.00100769230769231,0.00156538461538462,0.0118588461538462,1.10696580241641,0.0229535827877041,0.0229535827877041,28.9230769230769,1256.76923076923,1162.43120034048,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.3380304287553,17468.4718554813,1441.22352913406,1441.22352913406,NA,NA,0,0,0,NA,17918.4674341156,1191.76512261594,NA,0,NA,NA,NA,NA,NA,NA,1191.76512261594,17918.4674341156,700.259448366389,15.5376518489178,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM108CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX CR 20OZ 2CT","Cat Treats","NPP",0,0,0,"ROM","ALBSCO",NA,NA,NA,NA,14.2476628201467,14.0756116059199,0,0.000256666666666667,0.000443333333333333,0,0.0108095833333333,1.0763527340717,0,0,26,1148.66666666667,945.835635225761,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202.831031440906,13175.0778740754,2776.22045925798,2776.22045925798,NA,NA,0,0,0,NA,13456.0825321372,966.339524574943,NA,0,NA,NA,NA,NA,NA,NA,966.339524574943,13456.0825321372,392.964692993301,13.9256093528846,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11108CTFANCYFEASTSAVORYCRAVINGS_ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ","Cat Treats","NPP",0,0,1,"ROM","ALBSCO",NA,NA,NA,NA,4.75356573461344,4.70754246949769,0,0,0.000111428571428571,0,0.0161442857142857,1.24608783076042,0,0,35,350.183857142857,303.517572103093,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.6662850397639,1410.67010103307,216.899684681215,216.899684681215,NA,NA,0,0,0,NA,1456.48744569821,313.313786800132,NA,0,NA,NA,NA,NA,NA,NA,313.313786800132,1456.48744569821,37.7550687078762,4.64324980693639,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11108CTFANCYFEASTSAVORYCRAVINGS_ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ","Cat Treats","NPP",0,1,0,"ROM","ALBSCO",NA,NA,NA,NA,4.4120275740862,4.32962093023169,0,0,0.000136153846153846,0,0.00876115384615385,1.15624417078623,0,0.00421972232404458,31.9230769230769,222.571769230769,221.740224953178,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83154427759146,971.863206416736,3.91410127557167,3.91410127557167,NA,NA,0,0,0,NA,1524.25616086243,355.481033129643,NA,0,NA,NA,NA,NA,NA,NA,355.481033129643,1524.25616086243,24.2496675973201,4.29635826728877,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
