"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_TPR_1","WB_Comp_TPR_2","WB_Comp_TPR_3","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_1","CB_Comp_TPR_2","CB_Comp_TPR_3","lift_vol","base_doll","lift_doll","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Cross_non_normalised","Within_non_normalised","true_lift_doll","Within","Cross","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_TPR_4","WB_Comp_TPR_5","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_TPR_4","CB_Comp_TPR_5","CB_Comp_TPR_6","CB_Comp_TPR_7","CB_Comp_TPR_8","CB_Comp_TPR_9","WB_Comp_RP_5","WB_Comp_RP_6","WB_Comp_RP_7","CB_Comp_RP_6","CB_Comp_RP_7","WB_Comp_Interaction_RP_1"
"ITEM11108CTFANCYFEASTSAVORYCRAVINGS_ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ","Cat Treats","NPP",1,0,0,"ROM","ALBSCO",NA,NA,NA,NA,4.70096885813149,4.70096885813149,0,0,0,0,0.015785,1.10696580241641,0,0,28.9230769230769,126.252614504745,126.252614504745,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,593.509609044485,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,4.70096885813149,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11108CTFANCYFEASTSAVORYCRAVINGS_ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ","Cat Treats","NPP",0,0,0,"ROM","ALBSCO",NA,NA,NA,NA,4.70096885813149,4.70096885813149,0,0,0,0,0.015785,1.0763527340717,0,0,26,160.864331419621,160.864331419621,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,756.21821238778,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,4.70096885813149,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1110CTDENTALIFEDNT_ROM","CT DENTALIFE DNT 19OZ","Cat Treats","NPP",0,0,1,"ROM","ALBSCO",NA,NA,NA,NA,9.74,9.74,0,0,0,0,0.00021,1.24608783076042,0,0,35,0.103572956080452,0.103572956080452,1,NA,NA,NA,NA,NA,15.5010279001468,NA,NA,NA,NA,0,1.0088005922236,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,9.74,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1110CTDENTALIFEDNT_ROM","CT DENTALIFE DNT 19OZ","Cat Treats","NPP",0,1,0,"ROM","ALBSCO",NA,NA,NA,NA,9.74,9.74,0,0,0,0,0.00021,1.15624417078623,0,0,31.9230769230769,0.185922461469049,0.185922461469049,1,NA,NA,NA,NA,NA,15.5010279001468,NA,NA,NA,NA,0,1.81088477470854,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,9.74,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1110CTDENTALIFEDNT_ROM","CT DENTALIFE DNT 19OZ","Cat Treats","NPP",1,0,0,"ROM","ALBSCO",NA,NA,NA,NA,9.74,9.74,0,0,0,0,0.00021,1.10696580241641,0,0,28.9230769230769,0.329091381433281,0.329091381433281,1,NA,NA,NA,NA,NA,15.5010279001468,NA,NA,NA,NA,0,3.20535005516016,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,9.74,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1110CTDENTALIFEDNT_ROM","CT DENTALIFE DNT 19OZ","Cat Treats","NPP",0,0,0,"ROM","ALBSCO",NA,NA,NA,NA,9.74,9.74,0,0,0,0,0.00021,1.0763527340717,0,0,26,0.573890762577765,0.573890762577765,1,NA,NA,NA,NA,NA,15.5010279001468,NA,NA,NA,NA,0,5.58969602750743,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,9.74,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11127CTKITKABOODLECR_ROM","CT KIT KABOODLE CR 04OZ","Cat Treats","NPP",0,0,1,"ROM","ALBSCO",NA,NA,NA,NA,1.53113044869475,1.53113044869475,0,0,0,0,0.000005,1.24608783076042,0,0,35,0.148691491393175,0.148691491393175,1,2.63567908752551,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0.227666069933924,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.53113044869475,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11127CTKITKABOODLECR_ROM","CT KIT KABOODLE CR 04OZ","Cat Treats","NPP",0,1,0,"ROM","ALBSCO",NA,NA,NA,NA,1.53113044869475,1.53113044869475,0,0,0,0,0.000005,1.15624417078623,0,0,31.9230769230769,0.380484529668028,0.380484529668028,1,2.63567908752551,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0.582571448632019,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.53113044869475,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11127CTKITKABOODLECR_ROM","CT KIT KABOODLE CR 04OZ","Cat Treats","NPP",1,0,0,"ROM","ALBSCO",NA,NA,NA,NA,1.53113044869475,1.53113044869475,0,0,0,0,0.000005,1.10696580241641,0,0,28.9230769230769,0.785183784732611,0.785183784732611,1,2.63567908752551,NA,NA,NA,NA,NA,NA,0.0323595818639782,NA,NA,0,1.20221880062549,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.53113044869475,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11127CTKITKABOODLECR_ROM","CT KIT KABOODLE CR 04OZ","Cat Treats","NPP",0,0,0,"ROM","ALBSCO",NA,NA,NA,NA,1.53113044869475,1.53113044869475,0,0,0,0,0.000005,1.0763527340717,0,0,26,2.32804400776774,2.32804400776774,1,2.63567908752551,NA,NA,NA,NA,NA,NA,0,NA,NA,0,3.56453906619454,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.53113044869475,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11128CTKITKABOODLECR_ROM","CT KIT KABOODLE CR 09OZ","Cat Treats","NPP",0,0,1,"ROM","ALBSCO",NA,NA,NA,NA,3.74839096720827,3.74839096720827,0,0,0,0,0.00228,1.24608783076042,0,0,35,62808.1775952456,62808.1775952456,1,1.50474932047484,2.48793673558349,NA,NA,NA,NA,NA,NA,NA,NA,0,235429.605564831,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.74839096720827,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11128CTKITKABOODLECR_ROM","CT KIT KABOODLE CR 09OZ","Cat Treats","NPP",0,1,0,"ROM","ALBSCO",NA,NA,NA,NA,3.74839096720827,3.74839096720827,0,0,0,0,0.00228,1.15624417078623,0,0,31.9230769230769,26129.5176775729,26129.5176775729,1,1.50474932047484,2.48793673558349,NA,NA,NA,NA,NA,NA,NA,NA,0,97943.6480401229,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.74839096720827,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11128CTKITKABOODLECR_ROM","CT KIT KABOODLE CR 09OZ","Cat Treats","NPP",1,0,0,"ROM","ALBSCO",NA,NA,NA,NA,3.74839096720827,3.74839096720827,0,0,0,0,0.00228,1.10696580241641,0,0,28.9230769230769,11120.022149777,11120.022149777,1,1.50474932047484,2.48793673558349,NA,NA,NA,NA,NA,NA,NA,NA,0,41682.19058138,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.74839096720827,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11128CTKITKABOODLECR_ROM","CT KIT KABOODLE CR 09OZ","Cat Treats","NPP",0,0,0,"ROM","ALBSCO",NA,NA,NA,NA,3.74839096720827,3.74839096720827,0,0,0,0,0.00228,1.0763527340717,0,0,26,4831.89930904585,4831.89930904585,1,1.50474932047484,2.48793673558349,NA,NA,NA,NA,NA,NA,NA,NA,0,18111.8477244874,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.74839096720827,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11129CTKITKABOODLECR_ROM","CT KIT KABOODLE CR 02.4OZ","Cat Treats","NPP",0,0,1,"ROM","ALBSCO",NA,NA,NA,NA,0.988679406926891,0.988679406926891,0,0,0,0,0.00183,1.24608783076042,0,0,35,146470.964937338,146470.964937338,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,144812.826746257,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,0.988679406926891,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11129CTKITKABOODLECR_ROM","CT KIT KABOODLE CR 02.4OZ","Cat Treats","NPP",0,1,0,"ROM","ALBSCO",NA,NA,NA,NA,0.988679406926891,0.988679406926891,0,0,0,0,0.00183,1.15624417078623,0,0,31.9230769230769,50740.4702870695,50740.4702870695,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50166.0580706114,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,0.988679406926891,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11129CTKITKABOODLECR_ROM","CT KIT KABOODLE CR 02.4OZ","Cat Treats","NPP",1,0,0,"ROM","ALBSCO",NA,NA,NA,NA,0.988679406926891,0.988679406926891,0,0,0,0,0.00183,1.10696580241641,0,0,28.9230769230769,18068.1804510092,18068.1804510092,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,17863.6379325518,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,0.988679406926891,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11129CTKITKABOODLECR_ROM","CT KIT KABOODLE CR 02.4OZ","Cat Treats","NPP",0,0,0,"ROM","ALBSCO",NA,NA,NA,NA,0.988679406926891,0.988679406926891,0,0,0,0,0.00183,1.0763527340717,0,0,26,6595.43244096845,6595.43244096845,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6520.76823416307,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,0.988679406926891,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11156CTWHISKERLICKINSAO_ROM","CT WHISKER LICKINS AO","Cat Treats","NPP",0,0,1,"ROM","ALBSCO",NA,NA,NA,NA,3.84584617580083,3.84584617580083,0,0,0,0,0.07743,1.24608783076042,0,0,35,2134.40786094702,2134.40786094702,1,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,8208.60430962231,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.84584617580083,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11156CTWHISKERLICKINSAO_ROM","CT WHISKER LICKINS AO","Cat Treats","NPP",0,1,0,"ROM","ALBSCO",NA,NA,NA,NA,3.84584617580083,3.84584617580083,0,0,0,0,0.07743,1.15624417078623,0,0,31.9230769230769,2039.29275768928,2039.29275768928,1,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,7842.80625349763,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.84584617580083,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11156CTWHISKERLICKINSAO_ROM","CT WHISKER LICKINS AO","Cat Treats","NPP",1,0,0,"ROM","ALBSCO",NA,NA,NA,NA,3.84584617580083,3.84584617580083,0,0,0,0,0.07743,1.10696580241641,0,0,28.9230769230769,1971.90523894025,1971.90523894025,1,NA,NA,0,NA,NA,NA,NA,0.0134554039556394,NA,NA,0,7583.64422221999,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.84584617580083,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11156CTWHISKERLICKINSAO_ROM","CT WHISKER LICKINS AO","Cat Treats","NPP",0,0,0,"ROM","ALBSCO",NA,NA,NA,NA,3.84584617580083,3.84584617580083,0,0,0,0,0.07743,1.0763527340717,0,0,26,1911.79237755374,1911.79237755374,1,NA,NA,0,NA,NA,NA,NA,0.0381588470382526,NA,NA,0,7352.45940414024,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.84584617580083,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1128CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 01.7OZ","Cat Treats","NPP",0,0,1,"ROM","ALBSCO",NA,NA,NA,NA,1.28175791333687,1.28175791333687,0,0,0,0,0.072675,1.24608783076042,0,0,35,4383.05741477902,4383.05741477902,1,0.980067396385094,2.63567908752551,0,0,0,3.76152185267049,NA,0,NA,NA,0,5618.01852600285,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.28175791333687,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1128CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 01.7OZ","Cat Treats","NPP",0,1,0,"ROM","ALBSCO",NA,NA,NA,NA,1.28175791333687,1.28175791333687,0,0,0,0,0.072675,1.15624417078623,0,0,31.9230769230769,4979.17556896135,4979.17556896135,1,0.980067396385094,2.63567908752551,0,0,0,3.76323856869392,NA,0,NA,NA,0,6382.09768740982,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.28175791333687,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1128CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 01.7OZ","Cat Treats","NPP",1,0,0,"ROM","ALBSCO",NA,NA,NA,NA,1.28175791333687,1.28175791333687,0,0,0,0,0.072675,1.10696580241641,0,0,28.9230769230769,5471.09041101776,5471.09041101776,1,0.980067396385094,2.63567908752551,0,0,0,3.76067811255967,NA,0,NA,NA,0,7012.61342890349,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.28175791333687,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1128CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 01.7OZ","Cat Treats","NPP",0,0,0,"ROM","ALBSCO",NA,NA,NA,NA,1.28175791333687,1.28175791333687,0,0,0,0,0.072675,1.0763527340717,0,0,26,5862.43208485936,5862.43208485936,1,0.980067396385094,2.63567908752551,0,0,0,3.7230761394587,NA,0,NA,NA,0,7514.21871616845,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.28175791333687,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
