"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_TPR_1","CB_Comp_RP_1","lift_vol","base_doll","lift_doll","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Cross","Within","Within_non_normalised","Cross_non_normalised","true_lift_doll","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_RP_5","WB_Comp_RP_6","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","CB_Comp_TPR_1","CB_Comp_RP_2","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_TPR_2"
"ITEM110CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ","Cat Treats","NPP",1,0,0,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,14.0634489579615,14.0634489579615,0,0,0,0,0.27841,1.10507250177612,0,0,28.9230769230769,18355.0309752371,18355.0309752371,2,NA,NA,NA,NA,0,258135.041242049,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,14.0634489579615,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM110CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ","Cat Treats","NPP",0,0,0,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,14.0634489579615,14.0634489579615,0,0,0,0,0.27841,1.07738179258124,0,0,26,19825.6799367471,19825.6799367471,2,NA,NA,NA,NA,0,278817.437847324,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,14.0634489579615,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11208CTFANCYFEASTSAVORYCRAVINGS_ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ","Cat Treats","NPP",0,0,1,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,4.56978029101101,4.56978029101101,0,0,0,0,0.01573,1.24786340127653,0,0,35,720.856324041589,720.856324041589,1,NA,NA,NA,NA,0,3294.1550222559,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,4.56978029101101,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11208CTFANCYFEASTSAVORYCRAVINGS_ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ","Cat Treats","NPP",0,1,0,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,4.56978029101101,4.56978029101101,0,0,0,0,0.01573,1.16018008340086,0,0,31.9230769230769,815.078070397528,815.078070397528,1,NA,NA,NA,NA,0,3724.72770173791,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,4.56978029101101,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11208CTFANCYFEASTSAVORYCRAVINGS_ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ","Cat Treats","NPP",1,0,0,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,4.56978029101101,4.56978029101101,0,0,0,0,0.01573,1.10507250177612,0,0,28.9230769230769,918.810020727881,918.810020727881,1,NA,NA,NA,NA,0,4198.75992390569,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,4.56978029101101,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11208CTFANCYFEASTSAVORYCRAVINGS_ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ","Cat Treats","NPP",0,0,0,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,4.56978029101101,4.56978029101101,0,0,0,0,0.01573,1.07738179258124,0,0,26,1032.55162561822,1032.55162561822,1,NA,NA,NA,NA,0,4718.53406820153,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,4.56978029101101,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1120CTDENTALIFEDNT_ROM","CT DENTALIFE DNT 19OZ","Cat Treats","NPP",0,0,1,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,9.74,9.74,0,0,0,0,0.00007,1.24786340127653,0,0,35,0.129972976985897,0.129972976985897,1,1.33841248133521,NA,NA,NA,0,1.26593679584263,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,9.74,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1120CTDENTALIFEDNT_ROM","CT DENTALIFE DNT 19OZ","Cat Treats","NPP",0,1,0,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,9.74,9.74,0,0,0,0,0.00007,1.16018008340086,0,0,31.9230769230769,0.286559342627537,0.286559342627537,1,1.33841248133521,NA,NA,NA,0,2.79108799719221,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,9.74,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1120CTDENTALIFEDNT_ROM","CT DENTALIFE DNT 19OZ","Cat Treats","NPP",1,0,0,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,9.74,9.74,0,0,0,0,0.00007,1.10507250177612,0,0,28.9230769230769,0.620115864897075,0.620115864897075,1,1.33841248133521,NA,NA,NA,0,6.03992852409751,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,9.74,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1120CTDENTALIFEDNT_ROM","CT DENTALIFE DNT 19OZ","Cat Treats","NPP",0,0,0,"ROM","CVS Total Corp WO HI",NA,NA,NA,NA,9.74,9.74,0,0,0,0,0.00007,1.07738179258124,0,0,26,1.31508821908261,1.31508821908261,1,1.33841248133521,NA,NA,NA,0,12.8089592538646,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,9.74,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
