"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_TPR_1","WB_Comp_TPR_2","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_RP_3","CB_Comp_TPR_1","CB_Comp_TPR_2","lift_vol","base_doll","lift_doll","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Cross_non_normalised","Within_non_normalised","true_lift_doll","Within","Cross","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_Interaction_RP_1","WB_Comp_RP_5","WB_Comp_RP_6","WB_Comp_RP_7","WB_Comp_RP_8","WB_Comp_RP_9","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","WB_Comp_TPR_6","WB_Comp_TPR_7","CB_Comp_TPR_3","CB_Comp_TPR_4","CB_Comp_TPR_5","CB_Comp_RP_4","CB_Comp_RP_5"
"ITEM58DCCATCHOWNATURALSGF_ROM","DC CAT CHOW NATURALS GF 03.2LB","Dry Cat","NPP",0,1,0,"ROM","AssociateWhlseGrocersCorp",NA,NA,NA,NA,7.90544494714509,7.90544494714509,0,0,0,0,0.042925,1.13370452882094,0,0,31.9230769230769,329.608336175481,329.608336175481,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2605.70055575536,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,7.90544494714509,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM58DCCATCHOWNATURALSGF_ROM","DC CAT CHOW NATURALS GF 03.2LB","Dry Cat","NPP",1,0,0,"ROM","AssociateWhlseGrocersCorp",NA,NA,NA,NA,7.90544494714509,7.90544494714509,0,0,0,0,0.042925,1.05478525976008,0,0,28.9230769230769,329.608336175481,329.608336175481,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2605.70055575536,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,7.90544494714509,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM58DCCATCHOWNATURALSGF_ROM","DC CAT CHOW NATURALS GF 03.2LB","Dry Cat","NPP",0,0,0,"ROM","AssociateWhlseGrocersCorp",NA,NA,NA,NA,7.90544494714509,7.90544494714509,0,0,0,0,0.042925,1.0574970794635,0,0,26,329.608336175481,329.608336175481,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2605.70055575536,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,7.90544494714509,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM59DCCATCHOWNATURALSGF_ROM","DC CAT CHOW NATURALS GF 06.3LB","Dry Cat","NPP",0,0,1,"ROM","AssociateWhlseGrocersCorp",NA,NA,NA,NA,15.99,15.99,0,0,0,0,0.00273,1.30016188358213,0,0,35,31.6485871415332,31.6485871415332,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,506.060908393115,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,15.99,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM59DCCATCHOWNATURALSGF_ROM","DC CAT CHOW NATURALS GF 06.3LB","Dry Cat","NPP",0,1,0,"ROM","AssociateWhlseGrocersCorp",NA,NA,NA,NA,15.99,15.99,0,0,0,0,0.00273,1.13370452882094,0,0,31.9230769230769,78.5735552384996,78.5735552384996,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1256.39114826361,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,15.99,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM59DCCATCHOWNATURALSGF_ROM","DC CAT CHOW NATURALS GF 06.3LB","Dry Cat","NPP",1,0,0,"ROM","AssociateWhlseGrocersCorp",NA,NA,NA,NA,15.99,15.99,0,0,0,0,0.00273,1.05478525976008,0,0,28.9230769230769,127.363678425487,127.363678425487,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2036.54521802354,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,15.99,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM59DCCATCHOWNATURALSGF_ROM","DC CAT CHOW NATURALS GF 06.3LB","Dry Cat","NPP",0,0,0,"ROM","AssociateWhlseGrocersCorp",NA,NA,NA,NA,15.99,15.99,0,0,0,0,0.00273,1.0574970794635,0,0,26,125.299128481167,125.299128481167,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2003.53306441386,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,15.99,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM60DCCATKITTENCHOWNATURALS_ROM","DC CAT/KITTEN CHOW NATURALS 18LB","Dry Cat","NPP",0,0,1,"ROM","AssociateWhlseGrocersCorp",NA,NA,NA,NA,24.7398807631161,24.7398807631161,0,0,0,0,0.485885,1.30016188358213,0,0,35,14612.4186078374,14612.4186078374,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,361509.494018637,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,24.7398807631161,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM60DCCATKITTENCHOWNATURALS_ROM","DC CAT/KITTEN CHOW NATURALS 18LB","Dry Cat","NPP",0,1,0,"ROM","AssociateWhlseGrocersCorp",NA,NA,NA,NA,24.7398807631161,24.7398807631161,0,0,0,0,0.485885,1.13370452882094,0,0,31.9230769230769,13269.1247158398,13269.1247158398,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,328276.563300794,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,24.7398807631161,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM60DCCATKITTENCHOWNATURALS_ROM","DC CAT/KITTEN CHOW NATURALS 18LB","Dry Cat","NPP",1,0,0,"ROM","AssociateWhlseGrocersCorp",NA,NA,NA,NA,24.7398807631161,24.7398807631161,0,0,0,0,0.485885,1.05478525976008,0,0,28.9230769230769,12682.7907437387,12682.7907437387,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,313770.730743649,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,24.7398807631161,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM60DCCATKITTENCHOWNATURALS_ROM","DC CAT/KITTEN CHOW NATURALS 18LB","Dry Cat","NPP",0,0,0,"ROM","AssociateWhlseGrocersCorp",NA,NA,NA,NA,24.7398807631161,24.7398807631161,0,0,0,0,0.485885,1.0574970794635,0,0,26,12702.6254803846,12702.6254803846,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,314261.439763236,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,24.7398807631161,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM61DCCATKITTENCHOWNATURALS_Retailer","DC CAT/KITTEN CHOW NATURALS 13LB","Dry Cat","NPP",0,0,1,"Retailer","AssociateWhlseGrocersCorp",NA,222.5,0,NA,20.8101530315028,20.8101530315028,0,0,0,0,0.347025,1.30016188358213,0,0,35,234.832858819799,226.327256555857,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8.50560226394164,4709.90484412758,153.022608410637,4310.51540417532,0,3821.98119272113,4310.51540417532,483.950054556386,483.950054556386,0,0,153.022608410637,NA,NA,23.9802763270853,20.7108009167625,"2022-12-31",NA,17.9439775280899,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM61DCCATKITTENCHOWNATURALS_Retailer","DC CAT/KITTEN CHOW NATURALS 13LB","Dry Cat","NPP",0,1,0,"Retailer","AssociateWhlseGrocersCorp",NA,245.538461538462,0,NA,20.8101530315028,20.8101530315028,0,0,0,0,0.347025,1.13370452882094,0,0,31.9230769230769,200.029287740092,195.067390434206,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,4.96189730588623,4055.10518113076,88.8715916822415,3489.19045770739,0,3208.81576925493,3489.19045770739,278.87916322935,278.87916322935,0,0,88.8715916822415,NA,NA,18.6633158408302,20.7178745099966,"2022-09-24",NA,16.6053947368421,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM61DCCATKITTENCHOWNATURALS_Retailer","DC CAT/KITTEN CHOW NATURALS 13LB","Dry Cat","NPP",1,0,0,"Retailer","AssociateWhlseGrocersCorp",NA,237.461538461538,0,NA,20.8101530315028,20.8101530315028,0.00386728682596141,0,0,0,0.347025,1.05478525976008,0.00386728682596141,0.00386728682596141,28.9230769230769,188.466320999736,183.032987709878,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5.43333328985846,3794.23696679172,86.898573996718,3291.091778,0,2856.65815933079,3291.091778,427.273849546468,427.273849546468,46.3533999331062,459.637501575095,76.8404876355742,NA,NA,40.8774405004113,20.6794601689741,"2022-06-25",NA,16.1971428571429,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM61DCCATKITTENCHOWNATURALS_Retailer","DC CAT/KITTEN CHOW NATURALS 13LB","Dry Cat","NPP",0,0,0,"Retailer","AssociateWhlseGrocersCorp",NA,253.75,0,NA,20.8101530315028,20.8101530315028,0,0,0,0,0.347025,1.0574970794635,0,0,26,189.251035919543,188.841285306264,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.409750613278582,3907.07847942218,6.16717533633812,3355.07514158232,0,3014.88443874381,3355.07514158232,339.804533625209,339.804533625209,0,0,6.16717533633812,NA,NA,25.0973640976005,20.6791448611381,"2022-03-26",NA,16.4466206896552,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM61DCCATKITTENCHOWNATURALS_ROM","DC CAT/KITTEN CHOW NATURALS 13LB","Dry Cat","NPP",0,0,1,"ROM","AssociateWhlseGrocersCorp",NA,NA,NA,NA,19.3221777979741,19.3221777979741,0,0,0,0,0.30738,1.30016188358213,0,0,35,10976.8652058884,10976.8652058884,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,212096.941172571,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,19.3221777979741,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
