"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_TPR_1","WB_Comp_TPR_2","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_RP_3","CB_Comp_TPR_1","CB_Comp_TPR_2","lift_vol","base_doll","lift_doll","true_lift_doll","Cross_predicted_normalised","Within_predicted_normalised","Cross_predicted_non_normalised","Within_predicted_non_normalised","gross_lift_on_pred","true_lift_on_pred","original_base_doll","original_base_vol","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Within","Cross","pred_vol_original","wk_sold_doll_byppg_original","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_Interaction_RP_1","WB_Comp_RP_5","WB_Comp_RP_6","WB_Comp_RP_7","WB_Comp_RP_8","WB_Comp_RP_9","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","WB_Comp_TPR_6","WB_Comp_TPR_7","CB_Comp_TPR_3","CB_Comp_TPR_4","CB_Comp_TPR_5","CB_Comp_RP_4","CB_Comp_RP_5"
"ITEM104CTWHISKERLICKINSCR_Retailer","CT WHISKER LICKINS CR 01.7OZ","Cat Treats","NPP",1,0,0,"Retailer","AssociateWhlseGrocersCorp",NA,2138.46153846154,0,NA,1.05274758365532,1.0503610595514,0,0,0,0,0.645306538461538,1.11273684553639,0,0,28.9230769230769,2611.07623076923,2077.59562917182,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,533.48060159741,2183.55621197204,548.851480335657,548.851480335657,NA,NA,0,0,219.964813760228,NA,2183.55621197204,2077.59562917182,1867.65009082051,0,1486.54167455891,1867.65009082051,378.443175658332,378.443175658332,0,0,2295.92637704589,2403.52102573226,14.9316069814119,1.04689631156551,"2022-06-25",NA,0.719044604316547,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM104CTWHISKERLICKINSCR_Retailer","CT WHISKER LICKINS CR 01.7OZ","Cat Treats","NPP",0,0,0,"Retailer","AssociateWhlseGrocersCorp",NA,1866.66666666667,0,NA,1.04564288171842,1.04441929489063,0,0,0,0,0.631874583333333,1.0791634282842,0,0,26,2126.0605,1749.85967925676,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,376.200820743242,1827.42992492642,385.840325073576,385.840325073576,NA,NA,0,0,394.300396294385,NA,1921.80934105053,1839.41833218049,1511.88575283333,0,1244.39096045221,1511.88575283333,265.17744586718,265.17744586718,NA,NA,2220.41820508082,2316.10973734491,9.3548546687085,1.04120098186288,"2022-03-26",NA,0.711114285714286,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM104CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 01.7OZ","Cat Treats","NPP",0,0,1,"ROM","AssociateWhlseGrocersCorp",NA,NA,NA,NA,1.2522795632947,1.22701950535869,0,0,0.000652142857142857,0,0.151389285714286,1.25931050178224,0,0,35,7633.08807142857,7611.50451262364,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.5835588049272,9276.45908148767,25.7914185123336,25.7914185123336,NA,NA,0,0,0,NA,9933.56174516467,8149.83400974886,NA,0,NA,NA,NA,NA,NA,NA,8149.83400974886,9933.56174516467,228.838712982343,1.22242079747421,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM104CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 01.7OZ","Cat Treats","NPP",0,1,0,"ROM","AssociateWhlseGrocersCorp",NA,NA,NA,NA,1.17968209554007,1.17750654995382,0,0,0.000817692307692308,0,0.156796538461538,1.17821154922883,0,0,31.9230769230769,9757.06692307692,9029.63927526877,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,727.42764780815,10619.4919045502,853.217480065137,853.217480065137,NA,NA,0,0,0,NA,10619.4919045502,9029.63927526877,NA,0,NA,NA,NA,NA,0,0,9029.63927526877,10619.4919045502,20.0471612241508,1.17750654995382,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM104CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 01.7OZ","Cat Treats","NPP",1,0,0,"ROM","AssociateWhlseGrocersCorp",NA,NA,NA,NA,1.05520995365262,1.04140268883771,0,0.0000438461538461538,0.00224538461538462,0,0.133807307692308,1.11273684553639,0,0,28.9230769230769,10610.6163076923,9931.25640793447,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,679.359899757838,10259.9050744877,698.584002435398,698.584002435398,NA,NA,0,0,0,NA,10759.8759297012,10422.0772219831,NA,0,NA,NA,NA,NA,NA,NA,10422.0772219831,10759.8759297012,233.736760307821,1.03354301635855,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM104CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 01.7OZ","Cat Treats","NPP",0,0,0,"ROM","AssociateWhlseGrocersCorp",NA,NA,NA,NA,1.05450437402149,1.04327200371036,0,0.00111583333333333,0.00159166666666667,0,0.0917954166666667,1.0791634282842,0,0,26,7843.00925,7657.27418688455,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.735063115451,7900.31753478139,192.945965218592,192.945965218592,NA,NA,0,0,0,NA,8428.00868864085,8169.42459832736,NA,0,NA,NA,NA,NA,NA,NA,8169.42459832736,8428.00868864085,176.36213762471,1.03188711470917,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM105CTWHISKERLICKINSCR_Retailer","CT WHISKER LICKINS CR 10OZ","Cat Treats","NPP",0,0,1,"Retailer","AssociateWhlseGrocersCorp",NA,448,0,NA,4.52976057507016,4.44324916820376,0.00448757175016486,0,0,0,0.0627871428571429,1.25931050178224,0.00856115208264009,0.00856115208264009,35,51.2588571428571,31.9452837920251,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.313573350832,143.333224615599,79.640275384401,79.640275384401,NA,NA,1.6093662991951,0,7.07734289320918,NA,204.103493056588,45.5327480800342,155.18619,0,96.7143466803561,155.18619,57.3116698057602,57.3116698057602,NA,NA,48.3303625257746,211.180835949797,9.34364626605981,4.3970033143189,"2022-12-31",NA,3.0275,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM105CTWHISKERLICKINSCR_Retailer","CT WHISKER LICKINS CR 10OZ","Cat Treats","NPP",0,1,0,"Retailer","AssociateWhlseGrocersCorp",NA,448,0,NA,4.57646211367128,4.55058507775713,0.00908024266114835,0,0,0,0.385932307692308,1.17821154922883,0.00469330999540579,0.00469330999540579,31.9230769230769,177.369461538462,130.199098903575,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.1703626348868,596.516592984936,196.528791630449,193.888026046021,NA,NA,2.64076558442803,0,23.4179938490667,NA,596.516592984936,130.199098903575,536.986044807692,0,394.177771930573,536.986044807692,137.880845598593,137.880845598593,0,2.64076558442803,138.440632628686,619.934586834002,19.2100846347429,4.49881775667236,"2022-09-24",NA,3.0275,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM105CTWHISKERLICKINSCR_Retailer","CT WHISKER LICKINS CR 10OZ","Cat Treats","NPP",1,0,0,"Retailer","AssociateWhlseGrocersCorp",NA,758.153846153846,0,NA,4.32753323569111,4.32663247203559,0,0,0,0,0.464564230769231,1.11273684553639,0,0,28.9230769230769,167.667307692308,151.122772347665,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5445353446424,654.156080256332,71.9105351282836,71.9105351282836,NA,NA,0,0,72.059019899866,NA,687.101653585967,158.924161986767,507.612774038462,0,457.524193282557,507.612774038462,50.0498957501124,50.0498957501124,NA,NA,175.594652995521,759.160673485832,1.00654917267164,4.32126272666682,"2022-06-25",NA,3.0275,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM105CTWHISKERLICKINSCR_Retailer","CT WHISKER LICKINS CR 10OZ","Cat Treats","NPP",0,0,0,"Retailer","AssociateWhlseGrocersCorp",NA,1493.33333333333,0,NA,4.05043396675041,4.04926967643822,0,0,0,0,0.4661125,1.0791634282842,0,0,26,189.156333333333,164.226545906825,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.9297874265086,663.834668310581,99.4969150227521,99.4969150227521,NA,NA,0,0,89.5026943391779,NA,691.43843228128,170.688087796939,552.385936458333,0,480.045353016302,552.385936458333,71.8085486854005,71.8085486854005,NA,NA,193.595149481242,780.941126620458,2.01624095489298,4.0404428398114,"2022-03-26",NA,2.8721875,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
