"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_TPR_1","CB_Comp_TPR_2","lift_vol","base_doll","lift_doll","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Cross_non_normalised","Within_non_normalised","true_lift_doll","Within","Cross","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_4","WB_Comp_RP_5","WB_Comp_RP_6","WB_Comp_RP_7","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","WB_Comp_TPR_6","WB_Comp_TPR_7","WB_Comp_TPR_8","WB_Comp_TPR_9","CB_Comp_RP_2","CB_Comp_TPR_3","CB_Comp_TPR_4"
"ITEM346CWBEYONDORGANIC_ROM","CW BEYOND ORGANIC 03OZ 6CT","Wet Cat","NPP",1,0,0,"ROM","BJs",NA,NA,NA,NA,7.94061923373481,7.94061923373481,0,0,0,0,0.02302,1.08160444274342,0,0,28.9230769230769,8127.11682098813,8127.11682098813,1,NA,NA,NA,NA,NA,NA,NA,0,64534.3401435481,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,7.94061923373481,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM346CWBEYONDORGANIC_ROM","CW BEYOND ORGANIC 03OZ 6CT","Wet Cat","NPP",0,0,0,"ROM","BJs",NA,NA,NA,NA,7.94061923373481,7.94061923373481,0,0,0,0,0.02302,1.01968720247813,0,0,26,6509.23122263415,6509.23122263415,1,NA,NA,NA,NA,NA,NA,NA,0,51687.3266432759,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,7.94061923373481,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM348CWBEYONDMIXERDIGESTSUPPORT_ROM","CW BEYOND MIXER DIGEST SUPPORT 01OZ 8CT","Wet Cat","NPP",0,0,1,"ROM","BJs",NA,NA,NA,NA,9.92747076023392,9.92747076023392,0,0,0,0,0.00368,1.19963324742068,0,0,35,144.411636175265,144.411636175265,1,NA,NA,NA,NA,NA,NA,NA,0,1433.64229556748,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,9.92747076023392,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM348CWBEYONDMIXERDIGESTSUPPORT_ROM","CW BEYOND MIXER DIGEST SUPPORT 01OZ 8CT","Wet Cat","NPP",0,1,0,"ROM","BJs",NA,NA,NA,NA,9.92747076023392,9.92747076023392,0,0,0,0,0.00368,1.16330916531663,0,0,31.9230769230769,103.480051283428,103.480051283428,1,NA,NA,NA,NA,NA,NA,NA,0,1027.29518338374,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,9.92747076023392,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM348CWBEYONDMIXERDIGESTSUPPORT_ROM","CW BEYOND MIXER DIGEST SUPPORT 01OZ 8CT","Wet Cat","NPP",1,0,0,"ROM","BJs",NA,NA,NA,NA,9.92747076023392,9.92747076023392,0,0,0,0,0.00368,1.08160444274342,0,0,28.9230769230769,74.7810232007592,74.7810232007592,1,NA,NA,NA,NA,NA,NA,NA,0,742.386421245911,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,9.92747076023392,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM348CWBEYONDMIXERDIGESTSUPPORT_ROM","CW BEYOND MIXER DIGEST SUPPORT 01OZ 8CT","Wet Cat","NPP",0,0,0,"ROM","BJs",NA,NA,NA,NA,9.92747076023392,9.92747076023392,0,0,0,0,0.00368,1.01968720247813,0,0,26,54.4860903433981,54.4860903433981,1,NA,NA,NA,NA,NA,NA,NA,0,540.909068723548,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,9.92747076023392,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM349CWBEYONDMIXERDIGESTSUPPORT_ROM","CW BEYOND MIXER DIGEST SUPPORT 01OZ","Wet Cat","NPP",0,0,1,"ROM","BJs",NA,NA,NA,NA,1.16971671654498,1.16971671654498,0,0,0,0,0.05385,1.19963324742068,0,0,35,23819.6390248937,23819.6390248937,1,NA,NA,NA,NA,NA,NA,NA,0,27862.2299494853,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,1.16971671654498,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM349CWBEYONDMIXERDIGESTSUPPORT_ROM","CW BEYOND MIXER DIGEST SUPPORT 01OZ","Wet Cat","NPP",0,1,0,"ROM","BJs",NA,NA,NA,NA,1.16971671654498,1.16971671654498,0,0,0,0,0.05385,1.16330916531663,0,0,31.9230769230769,13664.2390758288,13664.2390758288,1,NA,NA,NA,NA,NA,NA,NA,0,15983.2888658641,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,1.16971671654498,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM349CWBEYONDMIXERDIGESTSUPPORT_ROM","CW BEYOND MIXER DIGEST SUPPORT 01OZ","Wet Cat","NPP",1,0,0,"ROM","BJs",NA,NA,NA,NA,1.16971671654498,1.16971671654498,0,0,0,0,0.05385,1.08160444274342,0,0,28.9230769230769,7951.08397659827,7951.08397659827,1,NA,NA,NA,NA,NA,NA,NA,0,9300.51584207993,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,1.16971671654498,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM349CWBEYONDMIXERDIGESTSUPPORT_ROM","CW BEYOND MIXER DIGEST SUPPORT 01OZ","Wet Cat","NPP",0,0,0,"ROM","BJs",NA,NA,NA,NA,1.16971671654498,1.16971671654498,0,0,0,0,0.05385,1.01968720247813,0,0,26,4689.47077198445,4689.47077198445,1,NA,NA,NA,NA,NA,NA,NA,0,5485.3523537393,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,1.16971671654498,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
