"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_TPR_1","CB_Comp_TPR_2","lift_vol","base_doll","lift_doll","true_lift_doll","Cross_predicted_normalised","Within_predicted_normalised","Cross_predicted_non_normalised","Within_predicted_non_normalised","gross_lift_on_pred","true_lift_on_pred","original_base_doll","original_base_vol","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Within","Cross","pred_vol_original","wk_sold_doll_byppg_original","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_4","WB_Comp_RP_5","WB_Comp_RP_6","WB_Comp_RP_7","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","WB_Comp_TPR_6","WB_Comp_TPR_7","WB_Comp_TPR_8","WB_Comp_TPR_9","CB_Comp_RP_2","CB_Comp_TPR_3","CB_Comp_TPR_4"
"ITEM44CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ","Cat Treats","NPP",1,0,0,"ROM","BJs",NA,NA,NA,NA,12.9055306213811,12.8964546670019,0,0.00028,0.00110692307692308,0,0.228389230769231,1.11332175607937,0,0,28.9230769230769,3936.167,3936.167,2,NA,NA,NA,NA,NA,NA,NA,0,50705.7528461538,0,0,NA,NA,0,0,0,NA,52695.5232475633,4090.19934840943,NA,0,NA,NA,NA,NA,NA,NA,4090.19934840943,52695.5232475633,75.2685835348432,12.8864839167101,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM44CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ","Cat Treats","NPP",0,0,0,"ROM","BJs",NA,NA,NA,NA,12.3127863719928,12.3109122167834,0,0.00140166666666667,0.003105,0,0.230885,1.06056601988526,0,0,26,4044.17275,4044.17275,2,NA,NA,NA,NA,NA,NA,NA,0,49765.2739166667,0,0,NA,NA,0,0,0,NA,53965.0505669691,4384.35597659815,NA,0,NA,NA,NA,NA,NA,NA,4384.35597659815,53965.0505669691,9.06719763983532,12.3105343565743,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM57CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX CR 20OZ 2CT","Cat Treats","NPP",0,0,1,"Retailer","BJs",NA,2838.85714285714,2057.14285714286,NA,15.8389877260322,15.7588092552196,0,0,0.00833142857142857,0,0.696222857142857,1.26642825152505,0,0,35,2458.78571428571,2342.56906463245,2,NA,NA,NA,0,NA,NA,NA,116.216649653269,36911.3183023647,1613.47741192109,1613.47741192109,0,0,0,0,787.241961644633,787.241961644633,38062.4915399315,2403.09642997828,31713.7254910714,1752.92857142857,30214.7486167624,29960.7969196429,1484.60431003309,1484.60431003309,NA,NA,2480.50858620845,38849.7335015761,419.803837413767,15.6690734453853,"2022-12-31",1,12.898125,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM57CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX CR 20OZ 2CT","Cat Treats","NPP",0,1,0,"Retailer","BJs",NA,2688,2688,NA,15.7744494300769,15.7719797576532,0,0,0.0323169230769231,0,0.703111538461538,1.15819094348597,0,0,31.9230769230769,2139.61538461538,2131.0679572902,2,NA,NA,NA,0.0197756022818351,NA,NA,NA,8.54742732518308,33611.6989270746,130.997226771517,130.997226771517,0,0,0,0,591.921789250578,591.921789250578,34815.9109063477,2207.04978611388,27597.0266826923,2139.61538461538,27486.7808966237,25457.4112980769,110.20770599269,110.20770599269,NA,NA,2245.26114031016,35407.8326955983,10.1007658619389,15.7698316513217,"2022-09-24",1,12.898125,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM57CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX CR 20OZ 2CT","Cat Treats","NPP",1,0,0,"Retailer","BJs",NA,3478.15384615385,3478.15384615385,NA,15.5747410884726,15.5552475761142,0.0231457004190115,0.127970769230769,0.0486284615384615,0.0896776923076923,0.688262692307692,1.11332175607937,0.0231457004190115,0.0231457004190115,28.9230769230769,2827.30769230769,2022.13624598078,2,NA,NA,NA,0.00418592201819306,NA,NA,NA,805.171446326908,31484.825985039,10856.3547841917,10036.2513298202,21.0703134955157,799.033140875999,21.0703134955157,799.033140875999,8386.24122548999,7566.13777111846,31836.0591225439,2044.16335829384,33909.9162188914,2558.1443438914,24289.6271317467,31351.771875,8909.84914293366,8909.84914293366,NA,NA,2688.23726642884,40222.3003480339,1662.56323504709,15.4796552622316,"2022-06-25",0.906794055201699,12.0126685244161,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM57CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX CR 20OZ 2CT","Cat Treats","NPP",0,0,0,"Retailer","BJs",NA,3848,3848,NA,14.180038692751,14.0102157985791,0,0,0.0035775,0,0.647333333333333,1.06056601988526,0,0,26,2687.33333333333,2177.61082701892,2,NA,NA,NA,0,NA,NA,NA,509.72250631441,30882.7934854831,6342.87651451691,6342.87651451691,NA,NA,0,0,3208.51668695577,NA,30882.7934854831,2177.61082701892,31084.8666024122,2418.6,25274.3098002866,28666.2666024122,5727.92914288229,5727.92914288229,0,0,2459.3973574935,34091.3101724388,818.284425632505,13.8897243441366,"2022-03-26",0.9,11.5350528413028,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM57CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX CR 20OZ 2CT","Cat Treats","NPP",0,0,1,"ROM","BJs",NA,NA,NA,NA,18.4900173039299,18.3930902274715,0.0147072102787198,0,0,0,0.00702035714285714,1.26642825152505,0.0147072102787198,0.0106335988864503,35,61.3571428571429,57.672937370552,1,NA,NA,NA,NA,15.6690734453853,NA,NA,3.68420548659089,1038.57515523092,66.3491304833624,66.3491304833624,NA,NA,0,0,0,NA,1091.97833979141,60.5815196146029,NA,0,NA,NA,NA,NA,NA,NA,60.5815196146029,1091.97833979141,29.5695775627063,18.3581460562801,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM57CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX CR 20OZ 2CT","Cat Treats","NPP",0,1,0,"ROM","BJs",NA,NA,NA,NA,18.4832993577044,18.354983919485,0.0106445702272925,0,0,0,0.00603115384615385,1.15819094348597,0.0106445702272925,0.0106445702272925,31.9230769230769,52.6153846153846,50.5858562420244,1,NA,NA,NA,NA,15.7698316513217,NA,NA,2.0295283733602,915.258962718748,36.5810372812527,36.5810372812527,NA,NA,0,0,0,NA,1009.16110838789,55.7894834406197,NA,0,NA,NA,NA,NA,NA,NA,55.7894834406197,1009.16110838789,20.6435836645551,18.3258905000662,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM57CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX CR 20OZ 2CT","Cat Treats","NPP",1,0,0,"ROM","BJs",NA,NA,NA,NA,17.3654669439663,17.2643324023157,0.0121890137136967,0,0,0,0.00636269230769231,1.11332175607937,0.0121890137136967,0.0121890137136967,28.9230769230769,57.3076923076923,52.1376551282203,1,NA,NA,NA,NA,15.4796552622316,NA,NA,5.170037179472,879.0035340425,86.8556967267317,86.8556967267317,NA,NA,0,0,0,NA,905.81548028711,53.713776455238,NA,0,NA,NA,NA,NA,NA,NA,53.713776455238,905.81548028711,25.9236396161941,17.2148345814318,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM57CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX CR 20OZ 2CT","Cat Treats","NPP",0,0,0,"ROM","BJs",NA,NA,NA,NA,16.6145545663512,16.5525227853364,0,0.000549166666666667,0.00068,0,0.00635541666666667,1.06056601988526,0,0,26,48.0833333333333,44.2683158544196,1,NA,NA,NA,NA,13.8897243441366,NA,NA,3.81501747891372,731.105254428342,62.9880789049912,62.9880789049912,NA,NA,0,0,0,NA,747.085348002938,45.2166011072045,NA,0,NA,NA,NA,NA,NA,NA,45.2166011072045,747.085348002938,4.60892470484705,16.516065859303,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
