"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_TPR_1","WB_Comp_TPR_2","CB_Comp_TPR_1","lift_vol","base_doll","lift_doll","true_lift_doll","Cross_predicted_normalised","Within_predicted_normalised","Cross_predicted_non_normalised","Within_predicted_non_normalised","gross_lift_on_pred","true_lift_on_pred","original_base_doll","original_base_vol","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Cross","Within","pred_vol_original","wk_sold_doll_byppg_original","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_RP_5","WB_Comp_TPR_3","CB_Comp_RP_1","CB_Comp_TPR_2","CB_Comp_RP_2","CB_Comp_TPR_3","WB_Comp_RP_6","WB_Comp_TPR_4","WB_Comp_TPR_5","WB_Comp_TPR_6","WB_Comp_TPR_7","WB_Comp_TPR_8","CB_Comp_RP_3","WB_Comp_Interaction_RP_1"
"ITEM1CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",1,0,0,"ROM","Brookshire Brothers",NA,NA,NA,NA,1.66400981746295,1.6529126992464,0,0,0.02182,0,0.464596923076923,1.13684623568275,0,0,28.9230769230769,7715.04692307692,7622.23776303768,2,NA,NA,NA,NA,92.8091600392399,12469.116327095,157.654826751201,157.654826751201,0,0,0,0,0,0,13099.656348114,8008.72242532525,NA,0,NA,NA,NA,NA,0,0,8008.72242532525,13099.656348114,199.087736425449,1.63944381264833,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,0,0,"ROM","Brookshire Brothers",NA,NA,NA,NA,1.61462938320785,1.60546340465416,0,0,0.0136108333333333,0,0.53569,1.07154773271434,0,0,26,8718.01966666667,8441.03399768166,2,NA,NA,NA,NA,276.985668985003,13518.7016414232,440.493525243461,440.493525243461,0,0,0,0,0,0,13779.9029533097,8602.01807000945,NA,0,NA,NA,NA,NA,0,0,8602.01807000945,13779.9029533097,101.094934146936,1.60410210779756,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM59CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,1,"ROM","Brookshire Brothers",NA,NA,NA,NA,9.92254320733367,9.80309703250048,0,0,0.00556785714285714,0,0.545955,1.26020103023141,0,0,35,2321.64285714286,2251.14150444154,2,NA,NA,NA,NA,70.5013527013121,21994.8903500026,690.837507140234,690.837507140234,0,0,0,0,0,0,22254.9822899997,2277.7534704803,NA,0,NA,NA,NA,NA,0,0,2277.7534704803,22254.9822899997,349.922600002593,9.77065765619139,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM59CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,1,0,"ROM","Brookshire Brothers",NA,NA,NA,NA,9.87828160610313,9.78388852848589,0,0,0.0101538461538462,0,0.545423846153846,1.18945046411301,0,0,31.9230769230769,2278.30769230769,2254.65616583371,2,NA,NA,NA,NA,23.6515264739862,22002.6456091119,231.056698580414,231.056698580414,0,0,0,0,0,0,22380.4328365755,2293.27713981002,NA,0,NA,NA,NA,NA,0,0,2293.27713981002,22380.4328365755,273.132035825569,9.75946036888228,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM59CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",1,0,0,"ROM","Brookshire Brothers",NA,NA,NA,NA,9.03601123661574,8.99193733322786,0,0,0.0273569230769231,0,0.56177,1.13684623568275,0,0,28.9230769230769,2476.07692307692,2425.20579247085,2,NA,NA,NA,NA,50.8711306060731,21790.2495543419,452.873522581201,452.873522581201,0,0,0,0,0,0,22132.1645243176,2461.94976200681,NA,0,NA,NA,NA,NA,0,0,2461.94976200681,22132.1645243176,111.504323545,8.99144479438831,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM59CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,0,"ROM","Brookshire Brothers",NA,NA,NA,NA,8.31681607428913,8.30533781524958,0,0,0.005165,0,0.568925833333333,1.07154773271434,0,0,26,2547.25,2496.08975970872,2,NA,NA,NA,NA,51.1602402912758,20707.0280327984,425.594467201611,425.594467201611,0,0,0,0,0,0,21023.5759679512,2533.67782297714,NA,0,NA,NA,NA,NA,0,0,2533.67782297714,21023.5759679512,31.3121735128768,8.30494986829079,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM61CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 04OZ","Cat Treats","NPP",0,0,1,"ROM","Brookshire Brothers",NA,NA,NA,NA,2.38001818677805,2.38,0,0,0,0,0.158134642857143,1.26020103023141,0,0,35,210.714285714286,139.319965451451,2,NA,NA,NA,NA,71.3943202628352,330.89282158416,169.66217841584,169.66217841584,0,0,0,0,0,0,330.89282158416,139.319965451451,NA,0,NA,NA,NA,NA,0,0,139.319965451451,330.89282158416,0.948903734153209,2.37602047052996,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM61CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 04OZ","Cat Treats","NPP",0,1,0,"ROM","Brookshire Brothers",NA,NA,NA,NA,2.3765176185187,2.37544739908099,0,0,0,0,0.134441538461538,1.18945046411301,0,0,31.9230769230769,153.846153846154,108.099168944587,2,NA,NA,NA,NA,45.7469849015673,256.435446999155,108.430706846998,108.430706846998,0,0,0,0,0,0,256.435446999155,108.099168944587,NA,0,NA,NA,NA,NA,0,0,108.099168944587,256.435446999155,0.475065333867156,2.37290732302615,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM61CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 04OZ","Cat Treats","NPP",1,0,0,"ROM","Brookshire Brothers",NA,NA,NA,NA,2.19331685967803,2.19331685967803,0,0,0,0,0.129088461538462,1.13684623568275,0,0,28.9230769230769,176.692307692308,99.0454567483738,2,NA,NA,NA,NA,77.6468509439339,217.081709419104,170.150598273204,170.150598273204,0,0,0,0,0,0,217.081709419104,99.0454567483738,NA,0,NA,NA,NA,NA,0,0,99.0454567483738,217.081709419104,1.52515330823016,2.18524772238112,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM61CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 04OZ","Cat Treats","NPP",0,0,0,"ROM","Brookshire Brothers",NA,NA,NA,NA,1.82833115949788,1.82653855177843,0.00642700362500577,0,0,0,0.017605,1.07154773271434,0.00642700362500577,0.00642700362500577,26,24.6666666666667,13.3834454953639,2,NA,NA,NA,NA,11.2832211713028,26.7875009155497,24.0983324177836,24.0983324177836,0,0,0,0,0,0,52.806765852128,28.2901382085523,NA,0,NA,NA,NA,NA,0,0,28.2901382085523,52.806765852128,0.361321064079183,1.82023963828808,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM68CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 10OZ","Cat Treats","NPP",0,0,1,"ROM","Brookshire Brothers",NA,NA,NA,NA,4.98000566300488,4.97691611720462,0,0,0,0,0.160996428571429,1.26020103023141,0,0,35,157.071428571429,117.811653693784,2,NA,NA,NA,NA,39.2597748776443,585.427204753266,195.071366675305,195.071366675305,0,0,0,0,0,0,586.783882201284,118.084214022395,NA,0,NA,NA,NA,NA,0,0,118.084214022395,586.783882201284,1.71703671659958,4.96820838837954,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM68CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 10OZ","Cat Treats","NPP",0,1,0,"ROM","Brookshire Brothers",NA,NA,NA,NA,4.96286631699753,4.95656515123395,0,0,0.00208615384615385,0,0.148974230769231,1.18945046411301,0,0,31.9230769230769,145.846153846154,100.832349385122,2,NA,NA,NA,NA,45.0138044610315,499.524904491239,222.976633970299,222.976633970299,0,0,0,0,0,0,499.524904491239,100.832349385122,NA,0,NA,NA,NA,NA,0,0,100.832349385122,499.524904491239,1.41167181131505,4.95302547911858,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM68CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 10OZ","Cat Treats","NPP",1,0,0,"ROM","Brookshire Brothers",NA,NA,NA,NA,4.61026492617417,4.61020103140537,0.00528123017205987,0,0.00191538461538462,0,0.0804976923076923,1.13684623568275,0.00528123017205987,0.00528123017205987,28.9230769230769,85.9230769230769,46.4409367265162,2,NA,NA,NA,NA,39.4821401965608,214.655926807784,180.036380884524,180.036380884524,0,0,0,0,0,0,214.655926807784,46.4409367265162,NA,0,NA,NA,NA,NA,0,0,46.4409367265162,214.655926807784,3.54922341745232,4.59190141853826,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM68CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 10OZ","Cat Treats","NPP",0,0,0,"ROM","Brookshire Brothers",NA,NA,NA,NA,4.29446520722464,4.30930555555556,0.0532374100719424,0,0,0,0.00877333333333333,1.07154773271434,0.0532374100719424,0.0532374100719424,26,7.16666666666667,5.35584730466438,2,NA,NA,NA,NA,1.81081936200228,22.6297806553629,8.29355267797046,8.29355267797046,0,0,0,0,0,0,54.0346634398798,13.1824868360971,NA,0,NA,NA,NA,NA,0,0,13.1824868360971,54.0346634398798,0.990745041122401,4.28493055555556,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM7403CTFANCYFEASTSAVORYCRAVINGS_ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ","Cat Treats","NPP",0,0,1,"ROM","Brookshire Brothers",NA,NA,NA,NA,4.955324979301,4.98446428571429,0.0278886036443693,0,0,0,0.00460285714285714,1.26020103023141,0.0278886036443693,0.0468666704145557,35,8.21428571428571,7.55231142399964,1,NA,NA,NA,NA,0.661974290286071,35.990548184215,3.26445181578498,3.26445181578498,0,0,0,0,0,0,60.6442388087116,12.6792525744251,NA,0,NA,NA,NA,NA,0,0,12.6792525744251,60.6442388087116,1.38448464621051,4.94094642857143,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
