"PPG_Item_No","PPG_Cat","PPG_Item","MFG","Market","Retailer","Model_flag","PPG_Brand"
"ITEM20CWFANCYFEASTNATURALSML","Wet Cat","CW FANCY FEAST NATURALS ML 03OZ","NPP","ROM","Meijer",1,"Fancy Feast"
"ITEM20KITKABOODLE","Dry Cat","DC KIT KABOODLE 03.2LB","NPP","Retailer","Meijer",1,"Kit & Kaboodle"
"ITEM20KITKABOODLE","Dry Cat","DC KIT KABOODLE 03.2LB","NPP","ROM","Meijer",1,"Kit & Kaboodle"
"ITEM211ALPODT","Dog Treats","DT ALPO DT 21OZ","NPP","ROM","Meijer",2,"Alpo"
"ITEM213KITKABOODLE","Dry Cat","DC KIT KABOODLE 35LB","NPP","Retailer","Meijer",1,"Kit & Kaboodle"
"ITEM216TIDYCATSBREEZESTARTERBOX","Litter","CL TIDY CATS BREEZE STARTER HOOD","NPP","Retailer","Meijer",1,"Tidy Cats"
"ITEM21TIDYCATSCLUMPLW","Litter","CL TIDY CATS CLUMP LW 08.5LB","NPP","Retailer","Meijer",2,"Tidy Cats"
"ITEM21TIDYCATSCLUMPLW","Litter","CL TIDY CATS CLUMP LW 08.5LB","NPP","ROM","Meijer",2,"Tidy Cats"
"ITEM228CWPROPLANESSENTIAL","Wet Cat","CW PRO PLAN ESSENTIAL 03OZ","NPP","ROM","Meijer",1,"Pro Plan"
"ITEM228YESTERDAYSNEWSALT","Litter","CL YESTERDAYS NEWS ALT 30LB","NPP","Retailer","Meijer",0,"Yesterday's News"
"ITEM232TIDYCATSBREEZEPELLETSREFIL","Litter","CL TIDY CATS BREEZE PELLETS 03.5LB","NPP","Retailer","Meijer",1,"Tidy Cats"
"ITEM232TIDYCATSBREEZEPELLETSREFIL","Litter","CL TIDY CATS BREEZE PELLETS 03.5LB","NPP","ROM","Meijer",1,"Tidy Cats"
"ITEM237CWFRISKIESLILSOUPS","Wet Cat","CW FRISKIES LIL SOUPS 01.2OZ","NPP","Retailer","Meijer",2,"Friskies"
"ITEM237CWFRISKIESLILSOUPS","Wet Cat","CW FRISKIES LIL SOUPS 01.2OZ","NPP","ROM","Meijer",2,"Friskies"
"ITEM241BUSYCWNOLACW","Dog Treats","DT BUSY CWNOLA CW 20OZ","NPP","Retailer","Meijer",2,"Busy"
"ITEM241BUSYCWNOLACW","Dog Treats","DT BUSY CWNOLA CW 20OZ","NPP","ROM","Meijer",2,"Busy"
"ITEM24CWBEYOND","Wet Cat","CW BEYOND 03OZ","NPP","Retailer","Meijer",2,"Beyond"
"ITEM24CWBEYOND","Wet Cat","CW BEYOND 03OZ","NPP","ROM","Meijer",1,"Beyond"
"ITEM256BEYONDML","Wet Dog","DW BEYOND GR FR 13OZ 12CT","NPP","Retailer","Meijer",2,"Beyond"
"ITEM256CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 60CT","NPP","ROM","Meijer",1,"Friskies"
"ITEM257CWFRISKIESSTUFFD","Wet Cat","CW FRISKIES PREMIUM 05.5OZ","NPP","Retailer","Meijer",1,"Friskies"
"ITEM257CWFRISKIESSTUFFD","Wet Cat","CW FRISKIES PREMIUM 05.5OZ","NPP","ROM","Meijer",1,"Friskies"
"ITEM257TIDYCATSNATSTRGNONCLUMP","Litter","CL TIDY CATS NAT STRG NON-CLUMP 35LB","NPP","Retailer","Meijer",2,"Tidy Cats"
"ITEM257TIDYCATSNATSTRGNONCLUMP","Litter","CL TIDY CATS NAT STRG NON-CLUMP 35LB","NPP","ROM","Meijer",1,"Tidy Cats"
"ITEM259DENTALIFEDT","Dog Treats","DT DENTALIFE DT 28.5OZ","NPP","Retailer","Meijer",2,"Dentalife"
