"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_1","CB_Comp_TPR_2","lift_vol","base_doll","lift_doll","true_lift_doll","Cross_predicted_normalised","Within_predicted_normalised","Cross_predicted_non_normalised","Within_predicted_non_normalised","gross_lift_on_pred","true_lift_on_pred","original_base_doll","original_base_vol","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Within","Cross","pred_vol_original","wk_sold_doll_byppg_original","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_4","WB_Comp_RP_5","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","WB_Comp_TPR_6","WB_Comp_TPR_7","CB_Comp_TPR_3","WB_Comp_Interaction_TPR_1","WB_Comp_RP_6","CB_Comp_RP_3","CB_Comp_TPR_4","CB_Comp_TPR_5"
"ITEM18CTKITKABOODLECR_Retailer","CT KIT KABOODLE CR 09OZ","Cat Treats","NPP",1,0,0,"Retailer","Family Dollar",NA,4763.38461538462,4565.23076923077,NA,3.52631337332216,3.52179481798221,0,0,0,0,0.201624230769231,1.10630777717621,0,0,28.9230769230769,2479.61538461538,943.632636674825,1,8.63005314412426,NA,NA,NA,2.35125296909685,1.47276466117272,NA,NA,1535.98274794056,3398.78594994928,5377.91943466611,5377.91943466611,0,0,0,0,671.517353361488,671.517353361488,3398.78594994928,943.632636674825,5163.39310344828,289.809655172414,1966.38900120031,4873.58344827586,3195.50272627539,3195.50272627539,0,0,1137.68397269283,4070.30330331077,12.6649541205895,3.52088147367794,"2022-06-25",0.1290564130215,2.08289386990504,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM18CTKITKABOODLECR_Retailer","CT KIT KABOODLE CR 09OZ","Cat Treats","NPP",0,0,0,"Retailer","Family Dollar",NA,2268,924,NA,3.30076419273006,3.30067974508227,0,0,0.000381666666666667,0,0.165019166666667,1.07757855466302,0,0,26,1853.75,368.243998980228,1,8.62062709601928,NA,NA,NA,2.37969388730984,1.40220027764462,NA,NA,1485.50600101977,1207.04975668286,4864.80357665047,4864.80357665047,NA,NA,0,0,6.95376503583472,NA,1207.04975668286,368.243998980228,3658.12291666667,35.4033333333333,727.692827194917,3622.71958333333,2924.90697784995,2924.90697784995,0,0,370.827196114936,1214.00352171869,6.96605511663342,3.29686833616727,"2022-03-26",0.13,2.00592592592593,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM27CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,0,1,"ROM","Family Dollar",NA,NA,NA,NA,1.93457303623304,1.92694711254281,0,0.000272857142857143,0.00196928571428571,0,0.479755357142857,1.25605404725319,0,0,35,313151.267785714,309517.951107285,2,NA,NA,NA,NA,NA,NA,NA,NA,3633.31667842965,596423.101703939,7028.50772463273,7028.50772463273,NA,NA,0,0,0,NA,616894.480858015,320145.404073725,NA,0,NA,NA,NA,NA,NA,NA,320145.404073725,616894.480858015,2404.12709741414,1.92689113177652,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM27CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,1,0,"ROM","Family Dollar",NA,NA,NA,NA,1.92258983517423,1.91245651526072,0,0.000426153846153846,0.00323076923076923,0.0000646153846153846,0.445373461538462,1.16817517555793,0,0,31.9230769230769,307377.771692308,300311.989761924,2,NA,NA,NA,NA,NA,NA,NA,NA,7065.78193038407,574410.478015259,13526.9968308947,13526.9968308947,NA,NA,0,0,0,NA,574985.674343033,300612.444525091,NA,0,NA,NA,NA,NA,NA,NA,300612.444525091,574985.674343033,3183.17879122691,1.91245651526072,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM27CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",1,0,0,"ROM","Family Dollar",NA,NA,NA,NA,1.78378134937093,1.74999654335045,0,0.00263769230769231,0.00952307692307692,0.000275384615384615,0.429790384615385,1.10630777717621,0,0,28.9230769230769,312409.607692308,309043.828675841,2,NA,NA,NA,NA,NA,NA,NA,NA,3365.779016467,537792.069091228,5818.75867800326,5818.75867800326,NA,NA,0,0,0,NA,547438.44819149,314604.507717867,NA,0,NA,NA,NA,NA,NA,NA,314604.507717867,547438.44819149,13357.4786876803,1.7423512296153,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM27CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,0,0,"ROM","Family Dollar",NA,NA,NA,NA,1.72629160387521,1.71574132370827,0,0.0076575,0.00466083333333333,0.0003125,0.427133333333333,1.07757855466302,0,0,26,325793.966416667,323595.523675088,2,NA,NA,NA,NA,NA,NA,NA,NA,2198.44274157841,547450.057555067,3734.96419493316,3734.96419493316,NA,NA,0,0,0,NA,558165.867020029,329851.85378325,NA,0,NA,NA,NA,NA,NA,NA,329851.85378325,558165.867020029,10823.9531433024,1.69476226550376,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM2CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,1,"ROM","Family Dollar",NA,NA,NA,NA,3.69255651430107,3.67945427636131,0,0.000425714285714286,0.000962857142857143,0,0.379678571428571,1.25605404725319,0,0,35,133014.087928571,132084.623450308,2,NA,NA,NA,NA,NA,NA,NA,NA,929.464478263073,484836.548774276,3401.22222572417,3401.22222572417,NA,NA,0,0,0,NA,494779.782688698,134781.287862156,NA,0,NA,NA,NA,NA,NA,NA,134781.287862156,494779.782688698,2909.09824867611,3.67152389488337,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM2CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,1,0,"ROM","Family Dollar",NA,NA,NA,NA,3.68164610889166,3.6681827367432,0,0,0.00192307692307692,0,0.367995,1.16817517555793,0,0,31.9230769230769,125030.212307692,122289.829611714,2,NA,NA,NA,NA,NA,NA,NA,NA,2740.382695978,448023.998953328,10039.6291235955,10039.6291235955,NA,NA,0,0,0,NA,450013.086742911,122833.230338191,NA,0,NA,NA,NA,NA,NA,NA,122833.230338191,450013.086742911,2277.75161091421,3.663654716166,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM2CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",1,0,0,"ROM","Family Dollar",NA,NA,NA,NA,3.43700969265447,3.41283880274435,0,0.00380615384615385,0.00226307692307692,0.00023,0.386185,1.10630777717621,0,0,28.9230769230769,132065.277692308,130670.956364944,2,NA,NA,NA,NA,NA,NA,NA,NA,1394.32132736339,444721.70889227,4712.60180003804,4712.60180003804,NA,NA,0,0,0,NA,457279.974317398,134385.434518062,NA,0,NA,NA,NA,NA,NA,NA,134385.434518062,457279.974317398,4190.90549042218,3.4053644327317,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM2CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,0,"ROM","Family Dollar",NA,NA,NA,NA,3.22903730560291,3.21104872734533,0,0.00769666666666667,0.00182,0.000255833333333333,0.3802775,1.07757855466302,0,0,26,149452.582916667,145953.578528791,2,NA,NA,NA,NA,NA,NA,NA,NA,3499.0043878755,466065.277752102,11604.5197478982,11604.5197478982,NA,NA,0,0,0,NA,471660.536418164,147791.153527969,NA,0,NA,NA,NA,NA,NA,NA,147791.153527969,471660.536418164,4549.54201070035,3.19915935832895,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
