"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_1","CB_Comp_TPR_2","lift_vol","base_doll","lift_doll","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Within_non_normalised","Cross_non_normalised","true_lift_doll","Within","Cross","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_4","WB_Comp_RP_5","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","WB_Comp_TPR_6","WB_Comp_TPR_7","CB_Comp_TPR_3","WB_Comp_Interaction_TPR_1","WB_Comp_RP_6","CB_Comp_RP_3","CB_Comp_TPR_4","CB_Comp_TPR_5"
"ITEM18CTKITKABOODLECR_Retailer","CT KIT KABOODLE CR 09OZ","Cat Treats","NPP",1,0,0,"Retailer","Family Dollar",NA,4763.38461538462,4565.23076923077,NA,3.6949014545028,3.6949014545028,0,0,0,0,0.28856,1.10630777717621,0,0,28.9230769230769,54125.9296427259,20443.2853494669,1,8.68731189851268,NA,NA,NA,2.46291590578035,1.4872539440164,NA,NA,33682.644293259,75535.924772561,124405.166463597,5163.39310344828,289.809655172414,5163.39310344828,4873.58344827586,0,0,0,0,124405.166463597,0,0,48.8849270660428,3.69391394773933,"2022-06-25",0.1290564130215,2.08289386990504,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM18CTKITKABOODLECR_Retailer","CT KIT KABOODLE CR 09OZ","Cat Treats","NPP",0,0,0,"Retailer","Family Dollar",NA,2268,924,NA,3.6949014545028,3.6949014545028,0,0,0,0,0.28856,1.07757855466302,0,0,26,25892.8838969878,7747.95455612331,1,8.68731189851268,NA,NA,NA,2.46291590578035,1.4872539440164,NA,NA,18144.9293408645,28627.9285588416,66936.5150366663,3658.12291666667,35.4033333333333,3658.12291666667,3622.71958333333,0,0,0,0,66936.5150366663,0,0,107.210776744364,3.69068618476971,"2022-03-26",0.13,2.00592592592593,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM27CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,0,1,"ROM","Family Dollar",NA,NA,NA,NA,1.92446142333887,1.92446142333887,0,0,0,0,0.4849,1.25605404725319,0,0,35,321026.034402137,321026.034402137,2,NA,NA,NA,NA,NA,NA,NA,NA,0,617802.21909437,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.92446142333887,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM27CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,1,0,"ROM","Family Dollar",NA,NA,NA,NA,1.92446142333887,1.92446142333887,0,0,0,0,0.4849,1.16817517555793,0,0,31.9230769230769,305771.371637044,305771.371637044,2,NA,NA,NA,NA,NA,NA,NA,NA,0,588445.209076904,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.92446142333887,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM27CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",1,0,0,"ROM","Family Dollar",NA,NA,NA,NA,1.92446142333887,1.92446142333887,0,0,0,0,0.4849,1.10630777717621,0,0,28.9230769230769,296046.75207784,296046.75207784,2,NA,NA,NA,NA,NA,NA,NA,NA,0,569730.55387857,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.92446142333887,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM27CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,0,0,"ROM","Family Dollar",NA,NA,NA,NA,1.92446142333887,1.92446142333887,0,0,0,0,0.4849,1.07757855466302,0,0,26,304037.293332029,304037.293332029,2,NA,NA,NA,NA,NA,NA,NA,NA,0,585108.042273854,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.92446142333887,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM2CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,1,"ROM","Family Dollar",NA,NA,NA,NA,3.67820271235304,3.67820271235304,0,0,0,0,0.38226,1.25605404725319,0,0,35,134325.811524908,134325.811524908,2,NA,NA,NA,NA,NA,NA,NA,NA,0,494077.564289941,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.67820271235304,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM2CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,1,0,"ROM","Family Dollar",NA,NA,NA,NA,3.67820271235304,3.67820271235304,0,0,0,0,0.38226,1.16817517555793,0,0,31.9230769230769,123455.180004002,123455.180004002,2,NA,NA,NA,NA,NA,NA,NA,NA,0,454093.177944752,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.67820271235304,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM2CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",1,0,0,"ROM","Family Dollar",NA,NA,NA,NA,3.67820271235304,3.67820271235304,0,0,0,0,0.38226,1.10630777717621,0,0,28.9230769230769,117648.941250253,117648.941250253,2,NA,NA,NA,NA,NA,NA,NA,NA,0,432736.654812145,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.67820271235304,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM2CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,0,"ROM","Family Dollar",NA,NA,NA,NA,3.67820271235304,3.67820271235304,0,0,0,0,0.38226,1.07757855466302,0,0,26,118335.183190045,118335.183190045,2,NA,NA,NA,NA,NA,NA,NA,NA,0,435260.791776417,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.67820271235304,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
