"PPG_Item_No","PPG_Cat","PPG_Item","MFG","Market","Retailer","Model_flag","PPG_Brand"
"ITEM1479DDCNPORGANIX","Dry Dog","DD C&P ORGANIX 04LB","NPP","ROM","Family Dollar",1,"A/O Brand"
"ITEM1480DDCNPORGANIX","Dry Dog","DD C&P ORGANIX 18LB","NPP","ROM","Family Dollar",1,"A/O Brand"
"ITEM1481DDCNPPRISTINE","Dry Dog","DD C&P PRISTINE 10LB","NPP","ROM","Family Dollar",1,"A/O Brand"
"ITEM1482DDCNPPRISTINE","Dry Dog","DD C&P PRISTINE 04LB","NPP","ROM","Family Dollar",1,"A/O Brand"
"ITEM1483DDCNPPRISTINE","Dry Dog","DD C&P PRISTINE 18LB","NPP","ROM","Family Dollar",1,"A/O Brand"
"ITEM148CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ 30CT","NPP","ROM","Family Dollar",2,"Fancy Feast"
"ITEM1491DDDOGCHOWGREENBG","Dry Dog","DD DOG CHOW GREEN BG 46-48LB","NPP","ROM","Family Dollar",1,"Dog Chow Line"
"ITEM1492DDDOGCHOWLX","Dry Dog","DD DOG CHOW LX 32-36LB","NPP","ROM","Family Dollar",1,"Dog Chow Line"
"ITEM1493DDDOGCHOWLX","Dry Dog","DD DOG CHOW LX 04LB","NPP","ROM","Family Dollar",2,"Dog Chow Line"
"ITEM14CTFRISKIESPARTYMIXCR","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","NPP","Retailer","Family Dollar",1,"Friskies"
"ITEM14CTFRISKIESPARTYMIXCR","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","NPP","ROM","Family Dollar",2,"Friskies"
"ITEM14CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ 24CT","NPP","ROM","Family Dollar",2,"Fancy Feast"
"ITEM151CWMERRICKPURRFECTBISTRO","Wet Cat","CW MERRICK PURRFECT BISTRO 05.5OZ","NPP","ROM","Family Dollar",1,"Merrick"
"ITEM1551DDMERRICKGRFR","Dry Dog","DD MERRICK GR FR 22LB","NPP","ROM","Family Dollar",1,"Merrick"
"ITEM1552DDMERRICKGRFR","Dry Dog","DD MERRICK GR FR 10LB","NPP","ROM","Family Dollar",1,"Merrick"
"ITEM1553DDMERRICKGRFR","Dry Dog","DD MERRICK GR FR 04LB","NPP","ROM","Family Dollar",1,"Merrick"
"ITEM1556DDMERRICKHLTYGRNS","Dry Dog","DD MERRICK HLTY GRNS 04LB","NPP","ROM","Family Dollar",1,"Merrick"
"ITEM1557DDMERRICKHLTYGRNS","Dry Dog","DD MERRICK HLTY GRNS 25LB","NPP","ROM","Family Dollar",1,"Merrick"
"ITEM1558DDMERRICKLILPLTS","Dry Dog","DD MERRICK LIL PLTS 12LB","NPP","ROM","Family Dollar",1,"Merrick"
"ITEM1559DDMOISTANDMEATYHIPROTEIN","Dry Dog","DD MOIST AND MEATY HI PROTEIN 72OZ","NPP","ROM","Family Dollar",2,"Moist & Meaty"
"ITEM1598DDPROPLANDEVPUPPY","Dry Dog","DD PRO PLAN DEV PUPPY 24-34LB","NPP","ROM","Family Dollar",1,"Pro Plan"
"ITEM1599DDPROPLANESSENTIAL","Dry Dog","DD PRO PLAN ESSENTIAL 17-18LB","NPP","ROM","Family Dollar",1,"Pro Plan"
"ITEM1600DDPROPLANSPECIALIZED","Dry Dog","DD PRO PLAN SPECIALIZED 16-18LB","NPP","ROM","Family Dollar",1,"Pro Plan"
"ITEM1601DDPROPLANSPECIALIZED","Dry Dog","DD PRO PLAN SPECIALIZED 24-34LB","NPP","ROM","Family Dollar",1,"Pro Plan"
"ITEM1602DDPROPLANSPECIALIZED","Dry Dog","DD PRO PLAN SPECIALIZED 35-47LB","NPP","ROM","Family Dollar",1,"Pro Plan"
"ITEM1603DDPROPLANSPECIALIZED","Dry Dog","DD PRO PLAN SPECIALIZED 04-6LB","NPP","ROM","Family Dollar",1,"Pro Plan"
"ITEM1604DDPROPLANSPORT","Dry Dog","DD PRO PLAN SPORT 18LB","NPP","ROM","Family Dollar",1,"Pro Plan"
"ITEM1605DDPROPLANSPORT","Dry Dog","DD PRO PLAN SPORT 50LB","NPP","ROM","Family Dollar",1,"Pro Plan"
"ITEM1606DDPROPLANSPORTCHIKSAL","Dry Dog","DD PRO PLAN SPORT CHIK/SAL 06LB","NPP","ROM","Family Dollar",1,"Pro Plan"
