"PPG_Item_No","PPG_Cat","PPG_Item","MFG","Market","Retailer","Model_flag","PPG_Brand"
"ITEM100029CLYESTERDAYSNEWALT","Litter","CL YESTERDAYS NEW ALT 20LB","NPP","ROM","Amazon",2,"Yesterday's News"
"ITEM100031CLYESTERDAYSNEWSALT","Litter","CL YESTERDAYS NEWS ALT 13.2LB","NPP","ROM","Amazon",2,"Yesterday's News"
"ITEM120004CWBEYOND","Wet Cat","CW BEYOND 03OZ 12CT","NPP","Retailer","Amazon",2,"Beyond"
"ITEM120004CWBEYOND","Wet Cat","CW BEYOND 03OZ 12CT","NPP","ROM","Amazon",2,"Beyond"
"ITEM120005CWBEYOND","Wet Cat","CW BEYOND 03OZ 24CT","NPP","Retailer","Amazon",2,"Beyond"
"ITEM120005CWBEYOND","Wet Cat","CW BEYOND 03OZ 24CT","NPP","ROM","Amazon",2,"Beyond"
"ITEM120006CWBEYOND","Wet Cat","CW BEYOND 03OZ 6CT","NPP","ROM","Amazon",2,"Beyond"
"ITEM120007CWBEYOND","Wet Cat","CW BEYOND 03OZ","NPP","Retailer","Amazon",2,"Beyond"
"ITEM120007CWBEYOND","Wet Cat","CW BEYOND 03OZ","NPP","ROM","Amazon",2,"Beyond"
"ITEM120008CWBEYONDMIXERBROTH","Wet Cat","CW BEYOND MIXER BROTH 01OZ 8CT","NPP","ROM","Amazon",2,"Beyond"
"ITEM120009CWBEYONDMIXERBROTH","Wet Cat","CW BEYOND MIXER BROTH 01OZ","NPP","Retailer","Amazon",2,"Beyond"
"ITEM120009CWBEYONDMIXERBROTH","Wet Cat","CW BEYOND MIXER BROTH 01OZ","NPP","ROM","Amazon",2,"Beyond"
"ITEM120010CWBEYONDMIXERDIGESTSUPPORT","Wet Cat","CW BEYOND MIXER DIGEST SUPPORT 01OZ 8CT","NPP","ROM","Amazon",2,"Beyond"
"ITEM120011CWBEYONDMIXERDIGESTSUPPORT","Wet Cat","CW BEYOND MIXER DIGEST SUPPORT 01OZ","NPP","ROM","Amazon",2,"Beyond"
"ITEM120014CWBEYONDORGANIC","Wet Cat","CW BEYOND ORGANIC 03OZ","NPP","Retailer","Amazon",2,"Beyond"
"ITEM120014CWBEYONDORGANIC","Wet Cat","CW BEYOND ORGANIC 03OZ","NPP","ROM","Amazon",2,"Beyond"
"ITEM120016CWCNPORGANIX","Wet Cat","CW C&P ORGANIX 03OZ","NPP","Retailer","Amazon",2,"Castor & Pollux"
"ITEM120016CWCNPORGANIX","Wet Cat","CW C&P ORGANIX 03OZ","NPP","ROM","Amazon",2,"Castor & Pollux"
"ITEM120017CWCNPORGANIX","Wet Cat","CW C&P ORGANIX 05.5OZ","NPP","Retailer","Amazon",2,"Castor & Pollux"
"ITEM120017CWCNPORGANIX","Wet Cat","CW C&P ORGANIX 05.5OZ","NPP","ROM","Amazon",2,"Castor & Pollux"
"ITEM120018CWCNPPRISTINE","Wet Cat","CW C&P PRISTINE 03OZ CAN","NPP","Retailer","Amazon",2,"Castor & Pollux"
"ITEM120018CWCNPPRISTINE","Wet Cat","CW C&P PRISTINE 03OZ CAN","NPP","ROM","Amazon",2,"Castor & Pollux"
"ITEM120020CWFANCYFEASTAPPTZRS","Wet Cat","CW FANCY FEAST APPTZRS 01.1OZ 12CT","NPP","Retailer","Amazon",2,"Fancy Feast"
"ITEM120022CWFANCYFEASTAPPTZRS","Wet Cat","CW FANCY FEAST APPTZRS 01.1OZ","NPP","Retailer","Amazon",2,"Fancy Feast"
"ITEM120022CWFANCYFEASTAPPTZRS","Wet Cat","CW FANCY FEAST APPTZRS 01.1OZ","NPP","ROM","Amazon",2,"Fancy Feast"
"ITEM120023CWFANCYFEASTBROTHS","Wet Cat","CW FANCY FEAST BROTHS 01.4OZ 12CT","NPP","Retailer","Amazon",2,"Fancy Feast"
"ITEM120023CWFANCYFEASTBROTHS","Wet Cat","CW FANCY FEAST BROTHS 01.4OZ 12CT","NPP","ROM","Amazon",2,"Fancy Feast"
"ITEM120024CWFANCYFEASTBROTHS","Wet Cat","CW FANCY FEAST BROTHS 01.4OZ 20CT","NPP","ROM","Amazon",2,"Fancy Feast"
"ITEM120025CWFANCYFEASTBROTHS","Wet Cat","CW FANCY FEAST BROTHS 01.4OZ","NPP","Retailer","Amazon",2,"Fancy Feast"
"ITEM120025CWFANCYFEASTBROTHS","Wet Cat","CW FANCY FEAST BROTHS 01.4OZ","NPP","ROM","Amazon",2,"Fancy Feast"
"ITEM120026CWFANCYFEASTMEDLEYS","Wet Cat","CW FANCY FEAST MEDLEYS 03OZ 12CT","NPP","Retailer","Amazon",2,"Fancy Feast"
"ITEM120026CWFANCYFEASTMEDLEYS","Wet Cat","CW FANCY FEAST MEDLEYS 03OZ 12CT","NPP","ROM","Amazon",2,"Fancy Feast"
"ITEM120027CWFANCYFEASTMEDLEYS","Wet Cat","CW FANCY FEAST MEDLEYS 03OZ 18CT","NPP","ROM","Amazon",2,"Fancy Feast"
"ITEM120029CWFANCYFEASTMEDLEYS","Wet Cat","CW FANCY FEAST MEDLEYS 03OZ 30CT","NPP","Retailer","Amazon",2,"Fancy Feast"
"ITEM120029CWFANCYFEASTMEDLEYS","Wet Cat","CW FANCY FEAST MEDLEYS 03OZ 30CT","NPP","ROM","Amazon",2,"Fancy Feast"
"ITEM120030CWFANCYFEASTMEDLEYS","Wet Cat","CW FANCY FEAST MEDLEYS 03OZ","NPP","Retailer","Amazon",2,"Fancy Feast"
"ITEM120030CWFANCYFEASTMEDLEYS","Wet Cat","CW FANCY FEAST MEDLEYS 03OZ","NPP","ROM","Amazon",2,"Fancy Feast"
"ITEM120031CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ  12CT","NPP","Retailer","Amazon",2,"Fancy Feast"
"ITEM120033CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ 12CT","NPP","Retailer","Amazon",2,"Fancy Feast"
"ITEM120033CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ 12CT","NPP","ROM","Amazon",2,"Fancy Feast"
"ITEM120034CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ 24CT","NPP","Retailer","Amazon",2,"Fancy Feast"
"ITEM120034CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ 24CT","NPP","ROM","Amazon",2,"Fancy Feast"
"ITEM120035CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ 30CT","NPP","Retailer","Amazon",2,"Fancy Feast"
"ITEM120035CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ 30CT","NPP","ROM","Amazon",2,"Fancy Feast"
"ITEM120036CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ","NPP","Retailer","Amazon",2,"Fancy Feast"
"ITEM120036CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ","NPP","ROM","Amazon",2,"Fancy Feast"
"ITEM120038CWFANCYFEASTNATURALSML","Wet Cat","CW FANCY FEAST NATURALS ML 03OZ 12CT","NPP","ROM","Amazon",2,"Fancy Feast"
"ITEM120039CWFANCYFEASTNATURALSML","Wet Cat","CW FANCY FEAST NATURALS ML 03OZ 30CT","NPP","Retailer","Amazon",2,"Fancy Feast"
"ITEM120039CWFANCYFEASTNATURALSML","Wet Cat","CW FANCY FEAST NATURALS ML 03OZ 30CT","NPP","ROM","Amazon",2,"Fancy Feast"
