"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","CB_Comp_RP_1","CB_Comp_TPR_1","CB_Comp_TPR_2","CB_Comp_TPR_3","lift_vol","base_doll","lift_doll","true_lift_doll","Cross_predicted_normalised","Within_predicted_normalised","Cross_predicted_non_normalised","Within_predicted_non_normalised","gross_lift_on_pred","true_lift_on_pred","original_base_doll","original_base_vol","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Within","Cross","pred_vol_original","wk_sold_doll_byppg_original","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_RP_5","WB_Comp_TPR_1","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","CB_Comp_RP_2","CB_Comp_TPR_4","WB_Comp_RP_6","WB_Comp_RP_7","WB_Comp_RP_8","WB_Comp_RP_9","WB_Comp_TPR_6","WB_Comp_TPR_7","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_TPR_5","CB_Comp_TPR_6"
"ITEM18CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",1,0,0,"ROM","Brookshire",NA,NA,NA,NA,9.15855509824136,9.1262484999551,0,0,0.00664307692307692,0,0.535680384615385,1.14794137536971,0,0,28.9230769230769,2728.13261538462,2663.76543974314,2,NA,NA,NA,NA,64.3671756414707,24302.515111794,593.700888206036,593.700888206036,NA,NA,0,0,0,NA,24417.534361125,2676.50752604048,NA,0,NA,NA,NA,NA,NA,NA,2676.50752604048,24417.534361125,88.6778286431813,9.1262484999551,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM18CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,0,"ROM","Brookshire",NA,NA,NA,NA,8.39645842938775,8.39041147642845,0,0,0.0124266666666667,0,0.538509166666667,1.07843259381521,0,0,26,2795.667,2768.67212000808,2,NA,NA,NA,NA,26.9948799919193,23214.6577521844,220.379331148963,220.379331148963,NA,NA,0,0,0,NA,23514.8160819473,2803.83699690068,NA,0,NA,NA,NA,NA,NA,NA,2803.83699690068,23514.8160819473,17.1063203768706,8.39041147642845,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM3CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,0,1,"Retailer","Brookshire",NA,5090.71428571429,0,NA,2.12153090133996,2.11402457256355,0.012176818861296,0,0,0,0.550623571428571,1.27439084973535,0.00800890403966169,0.00395509708968969,35,1441.14285714286,1360.47534277456,2,NA,NA,NA,NA,80.6675143682943,2873.0998636454,120.981564926026,119.151768867442,NA,NA,0.644427466693436,1.38321024833061,0.797420520789534,NA,2933.01980739487,1387.69849086927,1854.40128004675,0,1751.47909201315,1854.40128004675,95.7459442230139,95.7459442230139,1.38321024833061,0.446585810253181,1410.45066669601,2933.81722791566,63.3399120577472,2.10699577912957,"2022-12-31",NA,1.28288480426547,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM3CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,1,0,"Retailer","Brookshire",NA,4695.38461538462,0,NA,2.03269412548804,2.03216518381654,0,0,0,0,0.551965384615385,1.20891740630637,0,0,31.9230769230769,1433.18,1386.5145939868,2,NA,NA,NA,NA,46.6654060132008,2815.44685760305,95.1969885508011,95.1737776576333,NA,NA,0.0232108931677528,0,1.53914487992342e-12,NA,2868.03904492599,1412.3657430826,1839.27130780935,0,1778.68800782816,1839.27130780935,60.5832999811892,60.5832999811892,NA,NA,1412.53902341959,2868.03904492599,0.799759807316144,2.03216518381654,"2022-09-24",NA,1.28237221494102,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM3CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",1,0,0,"Retailer","Brookshire",NA,5938.46153846154,0,NA,1.76923883247754,1.75597480606881,0,0,0,0,0.580051153846154,1.14794137536971,0,0,28.9230769230769,1527.38461538462,1480.74302085834,2,NA,NA,NA,NA,46.6415945262731,2604.24565735608,75.1251118746852,74.6035315237173,0,0,0.676380640542117,0,0,0,2621.61166809576,1489.51682247441,1925.24789749614,0,1867.10237419534,1925.24789749614,58.0450188480782,58.0450188480782,0,0.521580350967863,1494.43360340506,2621.61166809576,22.8987170027224,1.75425335642322,"2022-06-25",NA,1.26314766839378,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM3CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,0,0,"Retailer","Brookshire",NA,4645,0,NA,1.77003452967072,1.69856446337847,0,0,0,0,0.5787325,1.07843259381521,0.0081211925772,0.0162485138396039,26,1615.75,1481.81859667774,2,NA,NA,NA,NA,133.931403322257,2546.69674314459,175.799090188746,171.384607463726,NA,NA,4.44187206669984,0,1.44003327780714e-12,NA,2555.23845190684,1486.49135589224,1986.91318736277,0,1823.64268321452,1986.91318736277,160.749853497933,160.749853497933,0,4.41448272502044,1514.46146249527,2555.23845190684,139.01344160011,1.68793550973921,"2022-03-26",NA,1.23031575170434,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM3CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,0,1,"ROM","Brookshire",NA,NA,NA,NA,1.9057888401002,1.90110214927073,0,0.000777857142857143,0,0,0.515292857142857,1.27439084973535,0,0,35,6670.85664285714,6631.87183622419,2,2.10699577912957,NA,NA,NA,38.9848066329493,12602.0308120374,74.6446165340333,74.6446165340333,NA,NA,0,0,0,NA,13202.6667292562,6947.93448895822,NA,0,NA,NA,NA,NA,NA,NA,6947.93448895822,13202.6667292562,37.1188396249762,1.90018510413727,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM3CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,1,0,"ROM","Brookshire",NA,NA,NA,NA,1.89278543693328,1.88634416251695,0,0,0.000154615384615385,0,0.47582,1.20891740630637,0,0,31.9230769230769,6595.94353846154,6348.29881819423,2,2.03216518381654,NA,NA,NA,247.644720267305,11951.4846003363,467.064476586735,467.064476586735,NA,NA,0,0,0,NA,11990.4157956473,6369.12724972648,NA,0,NA,NA,NA,NA,NA,NA,6369.12724972648,11990.4157956473,69.3657491142521,1.88256766241259,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM3CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",1,0,0,"ROM","Brookshire",NA,NA,NA,NA,1.74465451449656,1.7163410336598,0,0,0.00223692307692308,0,0.453078076923077,1.14794137536971,0,0,28.9230769230769,6655.353,6444.79405132651,2,1.75425335642322,NA,NA,NA,210.558948673492,10981.0305212904,356.906478709603,356.906478709603,NA,NA,0,0,0,NA,11352.3854143302,6663.13897460918,NA,0,NA,NA,NA,NA,NA,NA,6663.13897460918,11352.3854143302,267.120673601634,1.70574734254395,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM3CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","NPP",0,0,0,"ROM","Brookshire",NA,NA,NA,NA,1.68650928028476,1.6709411244096,0,0,0.0117991666666667,0,0.505265833333333,1.07843259381521,0,0,26,7830.80266666667,7464.09627059639,2,1.68793550973921,NA,NA,NA,366.706396070276,12411.0747486605,607.320168006163,607.320168006163,NA,NA,0,0,0,NA,12555.0080534056,7548.96446735695,NA,0,NA,NA,NA,NA,NA,NA,7548.96446735695,12555.0080534056,178.572865491504,1.66440149534845,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
