"PPG_Item_No","PPG_Cat","PPG_Item","MFG","Market","Retailer","Model_flag","PPG_Brand"
"ITEM757CLTIDYCATSCLUMPNONLW","Litter","CL TIDY CATS CLUMP NON-LW 10LB","NPP","ROM","Brookshire",1,"Tidy Cats"
"ITEM759CLTIDYCATSBREEZEPELLETS","Litter","CL TIDY CATS BREEZE PELLETS 03.5LB","NPP","ROM","Brookshire",1,"Tidy Cats"
"ITEM760DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 31.1LB","NPP","ROM","Brookshire",1,"Purina One"
"ITEM761DTPIONEERWOMANMT","Dog Treats","DT PIONEER WOMAN MT 16OZ","NPP","ROM","Brookshire",1,"Pioneer Woman"
"ITEM762CLTIDYCATSBREEZEPADS","Litter","CL TIDY CATS BREEZE PADS 04CT","NPP","ROM","Brookshire",2,"Tidy Cats"
"ITEM763CLTIDYCATSCLUMPLW","Litter","CL TIDY CATS CLUMP LW 19.5LB","NPP","ROM","Brookshire",1,"Tidy Cats"
"ITEM763DTPRIMEBONESCW","Dog Treats","DT PRIME BONES CW 21-22.8OZ","NPP","ROM","Brookshire",1,"Prime"
"ITEM764CLTIDYCATSNATSTRGNONCLUMP","Litter","CL TIDY CATS NAT STRG NON-CLUMP 35LB","NPP","ROM","Brookshire",1,"Tidy Cats"
"ITEM764DDPURINAONETRUINSTBNB","Dry Dog","DD PURINA ONE TRU INST B&B 27.5LB","NPP","ROM","Brookshire",1,"Purina One"
"ITEM765CLTIDYCATSPURENATUREALT","Litter","CL TIDY CATS PURE NATURE ALT 12LB","NPP","ROM","Brookshire",1,"Tidy Cats"
"ITEM765DTPRIMEBONESCW","Dog Treats","DT PRIME BONES CW 39.7OZ","NPP","ROM","Brookshire",1,"Prime"
"ITEM766CLTIDYCATSPURENATUREALT","Litter","CL TIDY CATS PURE NATURE ALT 07.5LB","NPP","ROM","Brookshire",1,"Tidy Cats"
"ITEM767CLYESTERDAYSNEWALT","Litter","CL YESTERDAYS NEW ALT 10LB","NPP","ROM","Brookshire",1,"Yesterday's News"
"ITEM780DTPUPPYCHOWMT","Dog Treats","DT PUPPY CHOW MT 24OZ","NPP","ROM","Brookshire",1,"Dog Chow Line"
"ITEM7BEYONDGRFR","Dry Cat","DC BEYOND GR FR 03LB","NPP","Retailer","Brookshire",2,"Beyond"
"ITEM7BEYONDGRFR","Dry Cat","DC BEYOND GR FR 03LB","NPP","ROM","Brookshire",2,"Beyond"
"ITEM8105CTFANCYFEASTSAVORYCRAVINGS","Cat Treats","CT FANCY FEAST SAVORY CRAVINGS 3OZ","NPP","ROM","Brookshire",1,"Fancy Feast"
"ITEM8124CTKITKABOODLECR","Cat Treats","CT KIT KABOODLE CR 09OZ","NPP","ROM","Brookshire",1,"Kit & Kaboodle"
"ITEM8125CTKITKABOODLECR","Cat Treats","CT KIT KABOODLE CR 02.4OZ","NPP","ROM","Brookshire",1,"Kit & Kaboodle"
"ITEM8141CTWHISKERLICKINSAO","Cat Treats","CT WHISKER LICKINS AO","NPP","ROM","Brookshire",1,"Whisker Lickins"
"ITEM831CTWHISKERLICKINSCR","Cat Treats","CT WHISKER LICKINS CR 01.7OZ","NPP","ROM","Brookshire",1,"Whisker Lickins"
"ITEM832CTFANCYFEASTPUREFLAKED","Cat Treats","CT FANCY FEAST PURE FLAKED 01.06OZ","NPP","ROM","Brookshire",1,"Fancy Feast"
"ITEM832DDBENEFUL","Dry Dog","DD BENEFUL 28LB","NPP","Retailer","Brookshire",2,"Beneful"
"ITEM832DDBENEFUL","Dry Dog","DD BENEFUL 28LB","NPP","ROM","Brookshire",1,"Beneful"
"ITEM834DDALPO","Dry Dog","DD ALPO 28-31LB","NPP","ROM","Brookshire",1,"Alpo"
"ITEM835DDALPO","Dry Dog","DD ALPO 47-50LB","NPP","ROM","Brookshire",1,"Alpo"
"ITEM838DDBENEFULPREMIUM","Dry Dog","DD BENEFUL PREMIUM 03LB","NPP","ROM","Brookshire",1,"Beneful"
"ITEM839DDBENEFUL","Dry Dog","DD BENEFUL 12LB","NPP","ROM","Brookshire",1,"Beneful"
"ITEM840DDBENEFUL","Dry Dog","DD BENEFUL 14LB","NPP","Retailer","Brookshire",2,"Beneful"
"ITEM840DDBENEFUL","Dry Dog","DD BENEFUL 14LB","NPP","ROM","Brookshire",2,"Beneful"
"ITEM841DDBENEFUL","Dry Dog","DD BENEFUL 03.5LB","NPP","Retailer","Brookshire",1,"Beneful"
"ITEM841DDBENEFUL","Dry Dog","DD BENEFUL 03.5LB","NPP","ROM","Brookshire",2,"Beneful"
"ITEM842DDBENEFUL","Dry Dog","DD BENEFUL 40LB","NPP","ROM","Brookshire",2,"Beneful"
"ITEM843DDBENEFUL","Dry Dog","DD BENEFUL 06.3LB","NPP","ROM","Brookshire",1,"Beneful"
"ITEM845DDBEYONDORGANIC","Dry Dog","DD BEYOND ORGANIC 03LB","NPP","ROM","Brookshire",1,"Beyond"
"ITEM849CTFANCYFEASTSAVORYCRAVINGS","Cat Treats","CT FANCY FEAST SAVORY CRAVINGS 01OZ","NPP","ROM","Brookshire",2,"Fancy Feast"
"ITEM84CWBEYOND","Wet Cat","CW BEYOND 03OZ 6CT","NPP","ROM","Brookshire",1,"Beyond"
"ITEM85HONESTTODOGMT","Dog Treats","DT HONEST TO DOG AOF","NPP","Retailer","Brookshire",0,"Honest To Dog"
"ITEM864DTTREKKERSMT","Dog Treats","DT TREKKERS MT 05OZ","NPP","ROM","Brookshire",1,"Trekker's"
"ITEM865DDCNPORGANIX","Dry Dog","DD C&P ORGANIX 10LB","NPP","ROM","Brookshire",1,"A/O Brand"
"ITEM866DDCNPORGANIX","Dry Dog","DD C&P ORGANIX 04LB","NPP","Retailer","Brookshire",0,"A/O Brand"
"ITEM866DDCNPORGANIX","Dry Dog","DD C&P ORGANIX 04LB","NPP","ROM","Brookshire",1,"A/O Brand"
"ITEM867DDCNPORGANIX","Dry Dog","DD C&P ORGANIX 18LB","NPP","ROM","Brookshire",1,"A/O Brand"
"ITEM868DDCNPPRISTINE","Dry Dog","DD C&P PRISTINE 10LB","NPP","ROM","Brookshire",1,"A/O Brand"
"ITEM869DDCNPPRISTINE","Dry Dog","DD C&P PRISTINE 04LB","NPP","ROM","Brookshire",1,"A/O Brand"
"ITEM869DTZUKESMININTRLSMT","Dog Treats","DT ZUKES MINI NTRLS MT 06OZ","NPP","ROM","Brookshire",1,"Zuke's"
"ITEM870DDCNPPRISTINE","Dry Dog","DD C&P PRISTINE 18LB","NPP","ROM","Brookshire",1,"A/O Brand"
"ITEM873DDDOGCHOWGREENBG","Dry Dog","DD DOG CHOW GREEN BG 33.6-36LB","NPP","Retailer","Brookshire",1,"Dog Chow Line"
"ITEM873DDDOGCHOWGREENBG","Dry Dog","DD DOG CHOW GREEN BG 33.6-36LB","NPP","ROM","Brookshire",1,"Dog Chow Line"
"ITEM874DDDOGCHOWLX","Dry Dog","DD DOG CHOW LX 03.5LB","NPP","ROM","Brookshire",1,"Dog Chow Line"
"ITEM89CTFRISKIESPARTYMIXCR","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ","NPP","ROM","Brookshire",2,"Friskies"
"ITEM8CWFANCYFEASTBROTHS","Wet Cat","CW FANCY FEAST BROTHS 01.4OZ","NPP","Retailer","Brookshire",2,"Fancy Feast"
"ITEM8CWFANCYFEASTBROTHS","Wet Cat","CW FANCY FEAST BROTHS 01.4OZ","NPP","ROM","Brookshire",2,"Fancy Feast"
"ITEM903DDMOISTANDMEATYHIPROTEIN","Dry Dog","DD MOIST AND MEATY HI PROTEIN 72OZ","NPP","Retailer","Brookshire",2,"Moist & Meaty"
"ITEM903DDMOISTANDMEATYHIPROTEIN","Dry Dog","DD MOIST AND MEATY HI PROTEIN 72OZ","NPP","ROM","Brookshire",2,"Moist & Meaty"
"ITEM90PUPPYCHOWMT","Dog Treats","DT PUPPY CHOW MT 07OZ","NPP","Retailer","Brookshire",2,"Dog Chow Line"
"ITEM90PUPPYCHOWMT","Dog Treats","DT PUPPY CHOW MT 07OZ","NPP","ROM","Brookshire",2,"Dog Chow Line"
"ITEM927DDPROPLANESSENTIAL","Dry Dog","DD PRO PLAN ESSENTIAL 17-18LB","NPP","ROM","Brookshire",1,"Pro Plan"
"ITEM928DDPROPLANSPECIALIZED","Dry Dog","DD PRO PLAN SPECIALIZED 16-18LB","NPP","ROM","Brookshire",1,"Pro Plan"
"ITEM930DDPROPLANSPECIALIZED","Dry Dog","DD PRO PLAN SPECIALIZED 24-34LB","NPP","ROM","Brookshire",1,"Pro Plan"
"ITEM933DDPUPPYCHOW","Dry Dog","DD PUPPY CHOW 04LB","NPP","ROM","Brookshire",1,"Dog Chow Line"
"ITEM934DDPUPPYCHOW","Dry Dog","DD PUPPY CHOW 32-36LB","NPP","ROM","Brookshire",2,"Dog Chow Line"
"ITEM935DDPUPPYCHOW","Dry Dog","DD PUPPY CHOW 40LB","NPP","ROM","Brookshire",1,"Dog Chow Line"
"ITEM936DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 12.5LB","NPP","ROM","Brookshire",1,"Purina One"
"ITEM938DDPURINAONEML","Dry Dog","DD PURINA ONE ML 13.5LB","NPP","ROM","Brookshire",1,"Purina One"
"ITEM940DDPURINAONETRUINSTBNB","Dry Dog","DD PURINA ONE TRU INST B&B 36LB","NPP","ROM","Brookshire",1,"Purina One"
"ITEM941DDPURINAONETRUINSTHIPRO","Dry Dog","DD PURINA ONE TRU INST HI-PRO 03.8LB","NPP","ROM","Brookshire",1,"Purina One"
"ITEM942DDPURINAONETRUINST","Dry Dog","DD PURINA ONE TRU INST 03.8LB","NPP","ROM","Brookshire",2,"Purina One"
"ITEM943DDPURINAONETRUINST","Dry Dog","DD PURINA ONE TRU INST 02.8LB","NPP","ROM","Brookshire",1,"Purina One"
"ITEM96CWFRISKIES","Wet Cat","CW FRISKIES 03OZ 12CT","NPP","ROM","Brookshire",1,"Friskies"
"ITEM9BEYONDML","Wet Dog","DW BEYOND GR FR 13OZ","NPP","Retailer","Brookshire",1,"Beyond"
"ITEM9BEYONDML","Wet Dog","DW BEYOND GR FR 13OZ","NPP","ROM","Brookshire",2,"Beyond"
