"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","CB_Comp_RP_1","CB_Comp_TPR_1","CB_Comp_TPR_2","CB_Comp_TPR_3","lift_vol","base_doll","lift_doll","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Cross_non_normalised","Within_non_normalised","true_lift_doll","Within","Cross","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_RP_5","WB_Comp_TPR_1","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","CB_Comp_RP_2","CB_Comp_TPR_4","WB_Comp_RP_6","WB_Comp_RP_7","WB_Comp_RP_8","WB_Comp_RP_9","WB_Comp_TPR_6","WB_Comp_TPR_7","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_TPR_5","CB_Comp_TPR_6"
"ITEM8CWFANCYFEASTBROTHS_ROM","CW FANCY FEAST BROTHS 01.4OZ","Wet Cat","NPP",0,1,0,"ROM","Brookshire",NA,NA,NA,NA,1.48864472859484,1.48864472859484,0,0,0,0,0.39594,1.26424639199793,0,0,31.9230769230769,7787.18590223952,7787.18590223952,2,NA,NA,NA,NA,0,11592.3532439569,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.48864472859484,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM8CWFANCYFEASTBROTHS_ROM","CW FANCY FEAST BROTHS 01.4OZ","Wet Cat","NPP",1,0,0,"ROM","Brookshire",NA,NA,NA,NA,1.48864472859484,1.48864472859484,0,0,0,0,0.39594,1.14261583123798,0,0,28.9230769230769,7787.18590223952,7787.18590223952,2,NA,NA,NA,NA,0,11592.3532439569,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.48864472859484,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM8CWFANCYFEASTBROTHS_ROM","CW FANCY FEAST BROTHS 01.4OZ","Wet Cat","NPP",0,0,0,"ROM","Brookshire",NA,NA,NA,NA,1.48864472859484,1.48864472859484,0,0,0,0,0.39594,1.06282268650359,0,0,26,7787.18590223952,7787.18590223952,2,NA,NA,NA,NA,0,11592.3532439569,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.48864472859484,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM96CWFRISKIES_ROM","CW FRISKIES 03OZ 12CT","Wet Cat","NPP",0,0,1,"ROM","Brookshire",NA,NA,NA,NA,10.7966666666667,10.7966666666667,0,0,0,0,0.0014,1.23786289693824,0,0,35,39.755287935983,39.755287935983,1,NA,NA,NA,NA,0,429.224592082164,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,10.7966666666667,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM96CWFRISKIES_ROM","CW FRISKIES 03OZ 12CT","Wet Cat","NPP",0,1,0,"ROM","Brookshire",NA,NA,NA,NA,10.7966666666667,10.7966666666667,0,0,0,0,0.0014,1.26424639199793,0,0,31.9230769230769,39.755287935983,39.755287935983,1,NA,NA,NA,NA,0,429.224592082164,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,10.7966666666667,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM96CWFRISKIES_ROM","CW FRISKIES 03OZ 12CT","Wet Cat","NPP",1,0,0,"ROM","Brookshire",NA,NA,NA,NA,10.7966666666667,10.7966666666667,0,0,0,0,0.0014,1.14261583123798,0,0,28.9230769230769,39.755287935983,39.755287935983,1,NA,NA,NA,NA,0,429.224592082164,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,10.7966666666667,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM96CWFRISKIES_ROM","CW FRISKIES 03OZ 12CT","Wet Cat","NPP",0,0,0,"ROM","Brookshire",NA,NA,NA,NA,10.7966666666667,10.7966666666667,0,0,0,0,0.0014,1.06282268650359,0,0,26,39.755287935983,39.755287935983,1,NA,NA,NA,NA,0,429.224592082164,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,10.7966666666667,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM12PURINAONETRUINST_Retailer","DW PURINA ONE TRU INST 13OZ","Wet Dog","NPP",0,0,1,"Retailer","Brookshire",NA,1646.57142857143,0,NA,2.18790190729116,2.18790190729116,0,0,0,0,0.703095,1.19450094598015,0,0,35,548.652799507563,507.801063973463,2,NA,0,0,NA,40.8517355341,1110.56830156144,88.7327612855837,687.387591836735,0,674.140380088958,687.387591836735,13.2277371871769,13.2277371871769,0,0,88.7327612855837,NA,NA,1.0974436362096,2.18588866825806,"2022-12-31",NA,1.42973451327434,4,4,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM12PURINAONETRUINST_Retailer","DW PURINA ONE TRU INST 13OZ","Wet Dog","NPP",0,1,0,"Retailer","Brookshire",NA,2008.61538461538,0,NA,2.18790190729116,2.18790190729116,0,0,0,0,0.703095,1.20983957703774,0,0,31.9230769230769,502.163791139028,460.224827596924,2,NA,0,0,NA,41.9389635421035,1006.92677808206,80.5231418242829,772.729795662233,0,650.900682016687,772.729795662233,120.794939479624,120.794939479624,0,0,80.5231418242829,NA,NA,11.2351964992999,2.16573985156524,"2022-09-24",NA,1.4615625,3,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM12PURINAONETRUINST_Retailer","DW PURINA ONE TRU INST 13OZ","Wet Dog","NPP",1,0,0,"Retailer","Brookshire",NA,1836,0,NA,2.18790190729116,2.18790190729116,0,0,0,0,0.703095,1.12420138775182,0,0,28.9230769230769,486.180996442056,479.709310059214,2,NA,0,0,NA,6.47168638284231,1048.60345074758,13.1742048659704,795.933329952099,0,574.720776109216,795.933329952099,220.6487051237,220.6487051237,0,0,13.1742048659704,NA,NA,1.93867379073674,2.18390797405851,"2022-06-25",NA,1.20666666666667,2,2,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM12PURINAONETRUINST_Retailer","DW PURINA ONE TRU INST 13OZ","Wet Dog","NPP",0,0,0,"Retailer","Brookshire",NA,2159,0,NA,2.18790190729116,2.18790190729116,0,0,0,0,0.703095,1.08182762176094,0,0,26,553.091493120882,341.254677918442,2,NA,0,0,NA,211.83681520244,746.63176068979,460.839686812425,580.144527472527,0,402.322079014019,580.144527472527,177.488169985685,177.488169985685,0,0,460.839686812425,0,0,2.63848520347907,2.18314121566575,"2022-03-26",NA,1.18125984251968,1,1,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM12PURINAONETRUINST_ROM","DW PURINA ONE TRU INST 13OZ","Wet Dog","NPP",0,0,1,"ROM","Brookshire",NA,NA,NA,NA,2.25897978173008,2.25897978173008,0,0,0,0,0.51027,1.19450094598015,0,0,35,11685.4851396494,11685.4851396494,2,NA,NA,NA,NA,0,26397.2746701753,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,2.25897978173008,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM12PURINAONETRUINST_ROM","DW PURINA ONE TRU INST 13OZ","Wet Dog","NPP",0,1,0,"ROM","Brookshire",NA,NA,NA,NA,2.25897978173008,2.25897978173008,0,0,0,0,0.51027,1.20983957703774,0,0,31.9230769230769,11669.469262801,11669.469262801,2,NA,NA,NA,NA,0,26361.0951281881,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,2.25897978173008,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
