"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_1","lift_vol","base_doll","lift_doll","true_lift_doll","Cross_predicted_normalised","Within_predicted_normalised","Cross_predicted_non_normalised","Within_predicted_non_normalised","gross_lift_on_pred","true_lift_on_pred","original_base_doll","original_base_vol","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Within","Cross","pred_vol_original","wk_sold_doll_byppg_original","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_TPR_1","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","WB_Comp_TPR_6","CB_Comp_RP_3","CB_Comp_TPR_2","CB_Comp_TPR_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_TPR_4"
"ITEM19CTFANCYFEASTDUOSCR_Retailer","CT FANCY FEAST DUOS CR 02.1OZ","Cat Treats","NPP",0,1,0,"Retailer","DeMoulas",NA,960,0,NA,1.80625,1.79,0,0,0,0,0.012455,1.02374334982862,0,0,25.5,1.5,1.06266217036552,0,NA,NA,NA,NA,0.437337829634485,1.90216528495427,0.782834715045728,0.782834715045728,NA,NA,0,0,0,NA,2.27678004279464,1.27194415798584,1.695,0,1.20080825251303,1.695,0.494191747486968,0.494191747486968,NA,NA,1.27194415798584,2.27678004279464,0.02125,1.79,"2022-02-05",NA,1.13,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM19CTFANCYFEASTDUOSCR_Retailer","CT FANCY FEAST DUOS CR 02.1OZ","Cat Treats","NPP",0,0,1,"Retailer","DeMoulas",NA,960,0,NA,1.80625,1.79,0,0,0,0,0.012455,1.02374334982862,0,0,25.5,1.5,1.06266217036552,0,NA,NA,NA,NA,0.437337829634485,1.90216528495427,0.782834715045728,0.782834715045728,NA,NA,0,0,0,NA,2.27678004279464,1.27194415798584,1.695,0,1.20080825251303,1.695,0.494191747486968,0.494191747486968,NA,NA,1.27194415798584,2.27678004279464,0.02125,1.79,"2022-02-05",NA,1.13,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTBEYONDCR_ROM","CT BEYOND CR 02.1OZ","Cat Treats","NPP",0,0,1,"ROM","DeMoulas",NA,NA,NA,NA,1.9900824789648,1.99000443624375,0,0,0,0,0.027375,1.25965047385399,0,0,35,72.5348571428571,66.9587316713414,1,NA,NA,NA,NA,5.57612547151574,133.248066188368,11.0965052402037,11.0965052402037,NA,NA,0,0,0,NA,133.248066188368,66.9587316713414,NA,0,NA,NA,NA,NA,0,0,66.9587316713414,133.248066188368,0.00578814683621512,1.99000283999403,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTBEYONDCR_ROM","CT BEYOND CR 02.1OZ","Cat Treats","NPP",0,1,0,"ROM","DeMoulas",NA,NA,NA,NA,1.99012277780711,1.98999814060309,0,0,0,0,0.0270123076923077,1.14548376376481,0,0,31.9230769230769,65.075,61.9678705164165,1,NA,NA,NA,NA,3.10712948358354,123.315822112081,6.18317788791902,6.18317788791902,NA,NA,0,0,0,NA,133.247599474993,66.9587316713414,NA,0,NA,NA,NA,NA,NA,NA,66.9587316713414,133.247599474993,0.00817000204793861,1.98999586982953,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTBEYONDCR_ROM","CT BEYOND CR 02.1OZ","Cat Treats","NPP",1,0,0,"ROM","DeMoulas",NA,NA,NA,NA,1.99011670411588,1.98999828790621,0,0,0,0,0.0268146153846154,1.08164660473493,0,0,28.9230769230769,70.608,66.9587316713414,1,NA,NA,NA,NA,3.6492683286586,133.247588325197,7.26202705941829,7.26202705941829,NA,NA,0,0,0,NA,133.247588325197,66.9587316713414,NA,0,NA,NA,NA,NA,0,0,66.9587316713414,133.247588325197,0.00839008950669758,1.98999570331209,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTBEYONDCR_ROM","CT BEYOND CR 02.1OZ","Cat Treats","NPP",0,0,0,"ROM","DeMoulas",NA,NA,NA,NA,1.99011305600082,1.99000479383044,0,0,0,0,0.0246158333333333,1.09126210351774,0,0,26,66.774,65.3653658356707,1,NA,NA,NA,NA,1.4086341643293,130.077154653492,2.80317867984122,2.80317867984122,NA,NA,0,0,0,NA,133.247956060926,66.9587316713414,NA,0,NA,NA,NA,NA,NA,NA,66.9587316713414,133.247956060926,0.00725873820924082,1.99000119528782,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM39CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,1,"ROM","DeMoulas",NA,NA,NA,NA,3.65324708754985,3.63485285289638,0,0,0.00655928571428571,0,0.336543928571429,1.25965047385399,0,0,35,3980.90085714286,3924.23250536712,2,NA,NA,NA,0,56.6683517757379,14231.1106094298,204.724104855939,204.724104855939,NA,NA,0,0,0,NA,14442.9000704868,3982.34534151938,NA,0,NA,NA,NA,NA,NA,NA,3982.34534151938,14442.9000704868,107.311798791017,3.62728840050615,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM39CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,1,0,"ROM","DeMoulas",NA,NA,NA,NA,3.65510763720141,3.63904447947699,0,0,0,0,0.286895384615385,1.14548376376481,0,0,31.9230769230769,3610.03,3486.59813813845,2,NA,NA,NA,0,123.431861861555,12646.9362659376,446.235118677831,446.235118677831,NA,NA,0,0,0,NA,12799.1458218451,3528.35948526512,NA,0,NA,NA,NA,NA,NA,NA,3528.35948526512,12799.1458218451,100.718119390981,3.6279015119435,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM39CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",1,0,0,"ROM","DeMoulas",NA,NA,NA,NA,3.42803281838549,3.41871712086501,0,0.0092,0,0,0.303733461538462,1.08164660473493,0,0,28.9230769230769,3618.00246153846,3474.10631942581,2,NA,NA,NA,0.027132001815947,143.89614211265,11859.7220468691,492.549645438547,492.549645438547,NA,NA,0,0,0,NA,12363.589533675,3623.13812148057,NA,0,NA,NA,NA,NA,NA,NA,3623.13812148057,12363.589533675,53.0491439863193,3.41345425307141,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM39CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,0,"ROM","DeMoulas",NA,NA,NA,NA,3.16566521353794,3.12095477382411,0,0.00820416666666667,0.0124833333333333,0.00248333333333333,0.317007916666667,1.09126210351774,0,0,26,4252.00558333333,4072.27059692959,2,NA,NA,NA,0,179.734986403743,12693.2770159823,571.955484017686,571.955484017686,NA,NA,0,0,0,NA,13248.6927750362,4253.79301593433,NA,0,NA,NA,NA,NA,NA,NA,4253.79301593433,13248.6927750362,208.638094693209,3.11828350199425,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
