"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_1","lift_vol","base_doll","lift_doll","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Within_non_normalised","Cross_non_normalised","true_lift_doll","Within","Cross","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_3","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_TPR_2","CB_Comp_TPR_3","WB_Comp_RP_4","WB_Comp_RP_5","CB_Comp_TPR_4","CB_Comp_TPR_5","CB_Comp_TPR_6"
"ITEM1CTBEYONDCR_ROM","CT BEYOND CR 02.1OZ","Cat Treats","NPP",1,0,0,"ROM","Big Y",NA,NA,NA,NA,1.98999893605703,1.98999893605703,0,0,0,0,0.01891,1.05818203712714,0,0,28.9230769230769,38.2142083351521,38.2142083351521,1,NA,NA,NA,NA,NA,NA,0,76.0462339292144,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.98999893605703,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTBEYONDCR_ROM","CT BEYOND CR 02.1OZ","Cat Treats","NPP",0,0,0,"ROM","Big Y",NA,NA,NA,NA,1.98999893605703,1.98999893605703,0,0,0,0,0.01891,1.06563567932183,0,0,26,38.2142083351521,38.2142083351521,1,NA,NA,NA,NA,NA,NA,0,76.0462339292144,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.98999893605703,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM50CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,1,"ROM","Big Y",NA,NA,NA,NA,3.695458400724,3.695458400724,0,0,0,0,0.43306,1.23888819201506,0,0,35,3108.2064552359,3108.2064552359,2,NA,NA,0,NA,NA,NA,0,11486.2476561861,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.695458400724,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM50CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,1,0,"ROM","Big Y",NA,NA,NA,NA,3.695458400724,3.695458400724,0,0,0,0,0.43306,1.12095324689895,0,0,31.9230769230769,2706.49469910877,2706.49469910877,2,NA,NA,0,NA,NA,NA,0,10001.7385723365,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.695458400724,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM50CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",1,0,0,"ROM","Big Y",NA,NA,NA,NA,3.695458400724,3.695458400724,0,0,0,0,0.43306,1.05818203712714,0,0,28.9230769230769,2715.04936227131,2715.04936227131,2,NA,NA,0,NA,NA,NA,0,10033.3519741859,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.695458400724,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM50CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,0,"ROM","Big Y",NA,NA,NA,NA,3.695458400724,3.695458400724,0,0,0,0,0.43306,1.06563567932183,0,0,26,2934.76360944083,2934.76360944083,2,NA,NA,0,NA,NA,NA,0,10845.2968346472,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.695458400724,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM5CTDENTALIFEDNT_ROM","CT DENTALIFE DNT 01.8OZ","Cat Treats","NPP",0,0,1,"ROM","Big Y",NA,NA,NA,NA,2.49507563412637,2.49507563412637,0,0,0,0,0.053805,1.23888819201506,0,0,35,108.443290411025,108.443290411025,1,NA,NA,NA,NA,NA,NA,0,270.574211589038,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,2.49507563412637,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM5CTDENTALIFEDNT_ROM","CT DENTALIFE DNT 01.8OZ","Cat Treats","NPP",0,1,0,"ROM","Big Y",NA,NA,NA,NA,2.49507563412637,2.49507563412637,0,0,0,0,0.053805,1.12095324689895,0,0,31.9230769230769,108.443290411025,108.443290411025,1,NA,NA,NA,NA,NA,NA,0,270.574211589038,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,2.49507563412637,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM5CTDENTALIFEDNT_ROM","CT DENTALIFE DNT 01.8OZ","Cat Treats","NPP",1,0,0,"ROM","Big Y",NA,NA,NA,NA,2.49507563412637,2.49507563412637,0,0,0,0,0.053805,1.05818203712714,0,0,28.9230769230769,108.443290411025,108.443290411025,1,NA,NA,NA,NA,NA,NA,0,270.574211589038,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,2.49507563412637,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM5CTDENTALIFEDNT_ROM","CT DENTALIFE DNT 01.8OZ","Cat Treats","NPP",0,0,0,"ROM","Big Y",NA,NA,NA,NA,2.49507563412637,2.49507563412637,0,0,0,0,0.053805,1.06563567932183,0,0,26,108.443290411025,108.443290411025,1,NA,NA,NA,NA,NA,NA,0,270.574211589038,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,2.49507563412637,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM79CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 10OZ","Cat Treats","NPP",0,0,1,"ROM","Big Y",NA,NA,NA,NA,4.98244444444444,4.98244444444444,0,0,0,0,0.07468,1.23888819201506,0,0,35,72.4286950753572,72.4286950753572,1,NA,NA,NA,NA,NA,NA,0,360.871949396574,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,4.98244444444444,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM79CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 10OZ","Cat Treats","NPP",0,1,0,"ROM","Big Y",NA,NA,NA,NA,4.98244444444444,4.98244444444444,0,0,0,0,0.07468,1.12095324689895,0,0,31.9230769230769,72.4286950753572,72.4286950753572,1,NA,NA,NA,NA,NA,NA,0,360.871949396574,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,4.98244444444444,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM79CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 10OZ","Cat Treats","NPP",1,0,0,"ROM","Big Y",NA,NA,NA,NA,4.98244444444444,4.98244444444444,0,0,0,0,0.07468,1.05818203712714,0,0,28.9230769230769,72.4286950753572,72.4286950753572,1,NA,NA,NA,NA,NA,NA,0,360.871949396574,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,4.98244444444444,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM79CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 10OZ","Cat Treats","NPP",0,0,0,"ROM","Big Y",NA,NA,NA,NA,4.98244444444444,4.98244444444444,0,0,0,0,0.07468,1.06563567932183,0,0,26,72.4286950753572,72.4286950753572,1,NA,NA,NA,NA,NA,NA,0,360.871949396574,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,4.98244444444444,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM80CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 04OZ","Cat Treats","NPP",0,0,1,"ROM","Big Y",NA,NA,NA,NA,2.53601121584369,2.53601121584369,0,0,0,0,0.16056,1.23888819201506,0,0,35,332.475604427574,332.475604427574,1,NA,NA,NA,NA,NA,NA,0,843.161861822738,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,2.53601121584369,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
