"PPG_Item_No","PPG_Cat","PPG_Item","MFG","Market","Retailer","Model_flag","PPG_Brand"
"ITEM797DDCNPORGANIX","Dry Dog","DD C&P ORGANIX 10LB","NPP","ROM","Big Y",1,"A/O Brand"
"ITEM798DDCNPORGANIX","Dry Dog","DD C&P ORGANIX 18LB","NPP","ROM","Big Y",1,"A/O Brand"
"ITEM799DDCNPORGANIX","Dry Dog","DD C&P ORGANIX 04LB","NPP","ROM","Big Y",1,"A/O Brand"
"ITEM79CTWHISKERLICKINSCR","Cat Treats","CT WHISKER LICKINS CR 10OZ","NPP","ROM","Big Y",1,"Whisker Lickins"
"ITEM7CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 24CT","NPP","Retailer","Big Y",2,"Friskies"
"ITEM7CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 24CT","NPP","ROM","Big Y",2,"Friskies"
"ITEM800DDCNPPRISTINE","Dry Dog","DD C&P PRISTINE 04LB","NPP","ROM","Big Y",1,"A/O Brand"
"ITEM805DDDOGCHOWGREENBG","Dry Dog","DD DOG CHOW GREEN BG 33.6-36LB","NPP","ROM","Big Y",1,"Dog Chow Line"
"ITEM807DDDOGCHOWGREENBG","Dry Dog","DD DOG CHOW GREEN BG 46-48LB","NPP","ROM","Big Y",1,"Dog Chow Line"
"ITEM809DDDOGCHOWLX","Dry Dog","DD DOG CHOW LX 04LB","NPP","ROM","Big Y",1,"Dog Chow Line"
"ITEM80CTWHISKERLICKINSCR","Cat Treats","CT WHISKER LICKINS CR 04OZ","NPP","ROM","Big Y",1,"Whisker Lickins"
"ITEM821DTPIONEERWOMANMT","Dog Treats","DT PIONEER WOMAN MT 05OZ","NPP","ROM","Big Y",1,"Pioneer Woman"
"ITEM824DTPRIMEBONESCW","Dog Treats","DT PRIME BONES CW 21-22.8OZ","NPP","ROM","Big Y",1,"Prime"
"ITEM825DTPRIMEBONESCW","Dog Treats","DT PRIME BONES CW 39.7OZ","NPP","ROM","Big Y",1,"Prime"
"ITEM838DDMOISTANDMEATYHIPROTEIN","Dry Dog","DD MOIST AND MEATY HI PROTEIN 72OZ","NPP","ROM","Big Y",1,"Moist & Meaty"
"ITEM840DTPUPPYCHOWMT","Dog Treats","DT PUPPY CHOW MT 24OZ","NPP","ROM","Big Y",1,"Dog Chow Line"
"ITEM841DTPUPPYCHOWMT","Dog Treats","DT PUPPY CHOW MT 07OZ","NPP","ROM","Big Y",1,"Dog Chow Line"
"ITEM843DTPURINAONETRUEINSTMT","Dog Treats","DT PURINA ONE TRUE INST MT 07OZ","NPP","ROM","Big Y",1,"Purina One"
"ITEM864DDPROPLANSPECIALIZED","Dry Dog","DD PRO PLAN SPECIALIZED 24-34LB","NPP","ROM","Big Y",1,"Pro Plan"
"ITEM865DDPUPPYCHOW","Dry Dog","DD PUPPY CHOW 04.4LB","NPP","ROM","Big Y",2,"Dog Chow Line"
"ITEM866DDPUPPYCHOW","Dry Dog","DD PUPPY CHOW 32-36LB","NPP","ROM","Big Y",1,"Dog Chow Line"
"ITEM867DDPUPPYCHOW","Dry Dog","DD PUPPY CHOW 04LB","NPP","ROM","Big Y",1,"Dog Chow Line"
"ITEM868DDPUPPYCHOW","Dry Dog","DD PUPPY CHOW 40LB","NPP","ROM","Big Y",1,"Dog Chow Line"
"ITEM869DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 40LB","NPP","ROM","Big Y",1,"Purina One"
