"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_1","lift_vol","base_doll","lift_doll","true_lift_doll","Cross_predicted_normalised","Within_predicted_normalised","Cross_predicted_non_normalised","Within_predicted_non_normalised","gross_lift_on_pred","true_lift_on_pred","original_base_doll","original_base_vol","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Within","Cross","pred_vol_original","wk_sold_doll_byppg_original","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_3","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_TPR_2","CB_Comp_TPR_3","WB_Comp_RP_4","WB_Comp_RP_5","CB_Comp_TPR_4","CB_Comp_TPR_5","CB_Comp_TPR_6"
"ITEM1CTBEYONDCR_ROM","CT BEYOND CR 02.1OZ","Cat Treats","NPP",1,0,0,"ROM","Big Y",NA,NA,NA,NA,1.99012653115078,1.99000457156441,0,0,0,0,0.0183046153846154,1.05818203712714,0,0,28.9230769230769,36.8067692307692,36.8067692307692,1,NA,NA,NA,NA,NA,NA,0,73.2455384615384,0,0,NA,NA,0,0,0,NA,76.046341122337,38.2142083351521,NA,0,NA,NA,NA,NA,NA,NA,38.2142083351521,76.046341122337,0.00453524697077326,1.99000174111639,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTBEYONDCR_ROM","CT BEYOND CR 02.1OZ","Cat Treats","NPP",0,0,0,"ROM","Big Y",NA,NA,NA,NA,1.99007421026867,1.99000411370061,0,0,0,0,0.0165283333333333,1.06563567932183,0,0,26,33.986,33.986,1,NA,NA,NA,NA,NA,NA,0,67.6321666666667,0,0,NA,NA,0,0,0,NA,76.0462946641182,38.2142083351521,NA,0,NA,NA,NA,NA,NA,NA,38.2142083351521,76.0462946641182,0.00246604814889065,1.99000052538483,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM50CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,1,"ROM","Big Y",NA,NA,NA,NA,3.70268031292461,3.69224477722404,0,0,0.00606785714285714,0,0.426472857142857,1.23888819201506,0,0,35,3227.32935714286,3218.61376769471,2,NA,NA,0,NA,NA,NA,8.71558944814283,11841.9043903327,31.6065382387595,31.6065382387595,NA,NA,0,0,0,NA,12497.3892694167,3396.06285562787,NA,0,NA,NA,NA,NA,NA,NA,3396.06285562787,12497.3892694167,76.3724219266805,3.68020777723139,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM50CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,1,0,"ROM","Big Y",NA,NA,NA,NA,3.68928583285295,3.68188845582288,0,0,0.00250076923076923,0,0.383358076923077,1.12095324689895,0,0,31.9230769230769,3070.64015384615,2892.55829303801,2,NA,NA,0,NA,NA,NA,178.081860808142,10635.7227017527,654.459913631887,654.459913631887,NA,NA,0,0,0,NA,10635.7227017527,2892.55829303801,NA,0,NA,NA,NA,NA,0,0,2892.55829303801,10635.7227017527,37.9163110317308,3.67719062831271,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM50CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",1,0,0,"ROM","Big Y",NA,NA,NA,NA,3.4332027059772,3.4138622921422,0,0.0159415384615385,0.000827692307692308,0,0.381517307692308,1.05818203712714,0,0,28.9230769230769,3284.30384615385,3100.53746594279,2,NA,NA,0,NA,NA,NA,183.766380211053,10538.664935705,617.688371987274,617.688371987274,NA,NA,0,0,0,NA,10802.3701677766,3178.08634456339,NA,0,NA,NA,NA,NA,NA,NA,3178.08634456339,10802.3701677766,114.902635397566,3.40268892591451,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM50CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,0,"ROM","Big Y",NA,NA,NA,NA,3.1969468891501,3.15875073905431,0,0.0208908333333333,0.00493416666666667,0.000834166666666667,0.376275833333333,1.06563567932183,0,0,26,3803.1115,3719.54163980768,2,NA,NA,0,NA,NA,NA,83.5698601923174,11620.8397825986,263.582634068037,263.582634068037,NA,NA,0,0,0,NA,11821.9363952339,3784.37255000266,NA,0,NA,NA,NA,NA,NA,NA,3784.37255000266,11821.9363952339,267.939821593333,3.12951386370476,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM5CTDENTALIFEDNT_ROM","CT DENTALIFE DNT 01.8OZ","Cat Treats","NPP",0,0,1,"ROM","Big Y",NA,NA,NA,NA,2.50042223142446,2.49714768508341,0,0,0,0,0.0538567857142857,1.23888819201506,0,0,35,149.5825,108.699050099639,1,NA,NA,NA,NA,NA,NA,40.8834499003613,270.775907558757,101.797521012671,101.797521012671,NA,NA,0,0,0,NA,270.775907558757,108.699050099639,NA,0,NA,NA,NA,NA,0,0,108.699050099639,270.775907558757,1.4440684747138,2.49112937335157,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM5CTDENTALIFEDNT_ROM","CT DENTALIFE DNT 01.8OZ","Cat Treats","NPP",0,1,0,"ROM","Big Y",NA,NA,NA,NA,2.50334523974185,2.49891878270859,0,0,0,0,0.0541034615384615,1.12095324689895,0,0,31.9230769230769,135.94,108.458424063068,1,NA,NA,NA,NA,NA,NA,27.481575936932,270.40660859055,68.5686991017572,68.5686991017572,NA,NA,0,0,0,NA,270.666132647578,108.563671107543,NA,0,NA,NA,NA,NA,NA,NA,108.563671107543,270.666132647578,1.36722897888832,2.49336483731066,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM5CTDENTALIFEDNT_ROM","CT DENTALIFE DNT 01.8OZ","Cat Treats","NPP",1,0,0,"ROM","Big Y",NA,NA,NA,NA,2.4701416696838,2.46536029163002,0,0,0,0,0.0482015384615385,1.05818203712714,0,0,28.9230769230769,119.742923076923,103.876320943509,1,NA,NA,NA,NA,NA,NA,15.8666021334143,255.492812802344,38.9545718130404,38.9545718130404,NA,NA,0,0,0,NA,272.397542199696,110.758648786673,NA,0,NA,NA,NA,NA,NA,NA,110.758648786673,272.397542199696,1.37143404212315,2.45947237108043,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM5CTDENTALIFEDNT_ROM","CT DENTALIFE DNT 01.8OZ","Cat Treats","NPP",0,0,0,"ROM","Big Y",NA,NA,NA,NA,2.21245231315178,1.84128376827486,0.026198843858366,0.00414166666666667,0,0,0.0498275,1.06563567932183,0.0328627990838667,0.0328627990838667,26,154.730166666667,154.730166666667,1,NA,NA,NA,NA,NA,NA,0,272.226916666667,0,0,NA,NA,0,0,0,NA,330.918240140304,187.804984827518,NA,0,NA,NA,NA,NA,NA,NA,187.804984827518,330.918240140304,70.0818806555342,1.81108716569274,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
