"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","Missing_data_flag","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_1","CB_Comp_TPR_2","lift_vol","base_doll","lift_doll","true_lift_doll","Cross_predicted_normalised","Within_predicted_normalised","Cross_predicted_non_normalised","Within_predicted_non_normalised","gross_lift_on_pred","true_lift_on_pred","original_base_doll","original_base_vol","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Within","Cross","pred_vol_original","wk_sold_doll_byppg_original","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_Interaction_RP_1","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_TPR_3","CB_Comp_TPR_4","WB_Comp_RP_5","WB_Comp_RP_6","WB_Comp_RP_7","CB_Comp_RP_6","CB_Comp_TPR_5","CB_Comp_TPR_6","CB_Comp_TPR_7"
"ITEM1CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,1,"ROM","Target",NA,NA,NA,NA,3.71816348309152,3.70904352173367,0,0.000382142857142857,0.000863571428571429,0,0.355565,1.24635365846736,0,0,44,0,144599.142857143,143140.249835102,2,NA,NA,NA,NA,0.00711752395950244,NA,1458.89302204121,530491.19707787,5391.38635070156,5391.38635070156,NA,NA,0,0,0,NA,540250.911360788,145767.132506606,NA,0,NA,NA,NA,NA,NA,NA,145767.132506606,540250.911360788,1735.64261971898,3.70641963620911,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,1,0,"ROM","Target",NA,NA,NA,NA,3.70514643183453,3.69596529850957,0,0,0.00165461538461538,0,0.346760769230769,1.1597648759615,0,0,40.9230769230769,0,137589.789769231,134024.820891624,2,NA,NA,NA,NA,0,NA,3564.96887760631,494779.25251371,13161.2000247518,13161.2000247518,NA,NA,0,0,0,NA,496275.187652449,134430.862541305,NA,0,NA,NA,NA,NA,NA,NA,134430.862541305,496275.187652449,1877.98573255473,3.69169058239777,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM20CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",1,0,0,"Retailer","Target",NA,NA,NA,NA,9.54260234033865,9.38637988272577,0,0.0443346153846154,0.0467146153846154,0.000293076923076923,0.64959,1.12438979407232,0,0.00626500718769552,37.9230769230769,0,5879.07692307692,5851.47111840358,2,NA,NA,NA,NA,NA,NA,27.6058046733454,54792.2205929185,129.776330158451,129.776330158451,NA,NA,0,0,497.620101757929,NA,58549.224249985,6174.91950661791,NA,0,NA,NA,NA,NA,NA,NA,6316.94970177556,59046.8443517429,952.858468135607,9.3819296688602,"2023-04-22",NA,5.88828635221881,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM20CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,0,"Retailer","Target",NA,NA,NA,NA,9.91629368800355,9.7217753807328,0,0,0.00397083333333333,0,0.639709166666667,1.16913192627193,0,0,35,0,5613.66666666667,5613.66666666667,2,NA,NA,NA,NA,NA,NA,0,54520.2441666667,0,0,NA,NA,0,0,0,NA,59018.810129855,6017.92413848245,NA,0,NA,NA,NA,NA,NA,NA,6076.86093466863,59018.810129855,1145.43010721731,9.71216893728105,"2023-03-25",NA,6.10122874493927,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM20CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,1,"Retailer","Target",NA,11088.2142857143,0,NA,9.94922962484004,9.71210561607819,0.00666163055400851,0,0.00525,0,0.682221428571429,1.24635365846736,0.00666163055400851,0.00666163055400851,44,0,7494.35714285714,6490.0692632262,2,NA,NA,NA,NA,NA,NA,1004.28787963095,63844.1691362258,8035.22014948851,7968.56296580114,NA,NA,0,66.6571836873705,566.646733021589,NA,64051.6708390355,6490.55210830542,47269.1488988347,0,40928.6217022809,47269.1488988347,5914.46339966008,5914.46339966008,NA,NA,6710.65441486953,64618.3175720571,2664.86279766891,9.70559772317945,"2022-12-31",NA,6.3230178761233,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM20CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,1,0,"Retailer","Target",NA,6919.61538461538,0,NA,9.94123977351441,9.75269519047728,0,0,0.00597230769230769,0,0.650338461538462,1.1597648759615,0,0,40.9230769230769,0,5906.15384615385,5845.76194554061,2,NA,NA,NA,NA,NA,NA,60.3919006132392,57067.5699884517,393.631550009875,393.631550009875,NA,NA,0,0,128.794265548115,NA,59874.1734359949,6070.61429886655,36826.7568251631,0,36448.3746304787,36826.7568251631,374.694351020926,374.694351020926,NA,NA,6166.85215520344,60002.967701543,1259.86104985743,9.73030427481282,"2022-09-24",NA,6.24259429714857,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM20CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",1,0,0,"ROM","Target",NA,NA,NA,NA,9.30119153013397,9.26878905951006,0,0.00157538461538462,0.00248769230769231,0.0000592307692307692,0.456501538461538,1.12438979407232,0,0,37.9230769230769,0,76760.3855384615,75279.529672144,2,NA,NA,NA,NA,NA,NA,1480.85586631749,695098.544467231,13214.16507123,13214.16507123,NA,NA,0,0,0,NA,722485.47913095,78064.8061001863,NA,0,NA,NA,NA,NA,NA,NA,78064.8061001863,722485.47913095,2429.66230371473,9.26804846484165,"2023-04-22",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM20CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,0,"ROM","Target",NA,NA,NA,NA,9.8457262003578,9.79134503639007,0,0.00535583333333333,0.00113833333333333,0.0000275,0.44973875,1.16913192627193,0,0,35,0,69468.8650833333,69379.6563870153,2,NA,NA,NA,NA,NA,NA,89.2086963180664,679124.06073352,868.551099813252,868.551099813252,NA,NA,0,0,0,NA,706261.270961374,72147.2497765828,NA,0,NA,NA,NA,NA,NA,NA,72147.2497765828,706261.270961374,3954.58799158315,9.78900755496578,"2023-03-25",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM20CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,1,"ROM","Target",NA,NA,NA,NA,9.7984207610762,9.75221444463836,0,0.00204857142857143,0.00129785714285714,0.000095,0.456940714285714,1.24635365846736,0,0,44,0,75942.6615714286,75464.2694196196,2,NA,NA,NA,NA,NA,NA,478.39215180902,735122.618689976,4656.43545288065,4656.43545288065,NA,NA,0,0,0,NA,753358.689191218,77337.6286824593,NA,0,NA,NA,NA,NA,NA,NA,77337.6286824593,753358.689191218,4333.64905139955,9.74124996614229,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM20CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,1,0,"ROM","Target",NA,NA,NA,NA,9.70578137177781,9.63375185340922,0,0,0.00280846153846154,0,0.456508461538462,1.1597648759615,0,0,40.9230769230769,0,75937.0433846154,75473.7735686722,2,NA,NA,NA,NA,NA,NA,463.269815943155,727094.729795102,4447.47374335981,4447.47374335981,NA,NA,0,0,0,NA,733283.241968735,76116.4270173179,NA,0,NA,NA,NA,NA,NA,NA,76116.4270173179,733283.241968735,5436.25143383143,9.63375185340922,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
