"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","Missing_data_flag","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_1","CB_Comp_TPR_2","lift_vol","base_doll","lift_doll","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Cross_non_normalised","Within_non_normalised","true_lift_doll","Within","Cross","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_Interaction_RP_1","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_TPR_3","CB_Comp_TPR_4","WB_Comp_RP_5","WB_Comp_RP_6","WB_Comp_RP_7","CB_Comp_RP_6","CB_Comp_TPR_5","CB_Comp_TPR_6","CB_Comp_TPR_7"
"ITEM1CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,1,"ROM","Target",NA,NA,NA,NA,3.7670379717809,3.7670379717809,0,0,0,0,0.35197,1.24635365846736,0,0,32,0,140795.337890305,140795.337890305,2,NA,NA,NA,NA,0.00711752395950244,NA,0,530381.384082499,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.7670379717809,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,1,0,"ROM","Target",NA,NA,NA,NA,3.7670379717809,3.7670379717809,0,0,0,0,0.35197,1.1597648759615,0,0,28.9230769230769,0,130699.183426085,130699.183426085,2,NA,NA,NA,NA,0,NA,0,492348.786846818,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.7670379717809,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM20CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",1,0,0,"Retailer","Target",NA,NA,NA,NA,9.71993358381807,9.71993358381807,0,0,0,0,0.59454,1.12438979407232,0,0.00626500718769552,29.6153846153846,0,5550.86477891449,5466.89582180421,2,NA,NA,NA,NA,NA,NA,83.9689571102823,53116.0175026076,812.424464574301,NA,0,NA,NA,NA,NA,0,0,812.424464574301,NA,NA,25.5950166218897,9.71530929363461,"2023-04-22",NA,5.88828635221881,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM20CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,0,"Retailer","Target",NA,NA,NA,NA,9.71993358381807,9.71993358381807,0,0,0,0,0.59454,1.16913192627193,0,0,35,0,5601.98662347953,5516.22708775768,2,NA,NA,NA,NA,NA,NA,85.7595357218476,53563.4962375777,833.576991395432,NA,0,NA,NA,NA,NA,0,0,833.576991395432,NA,NA,53.8646886851513,9.71032679970841,"2023-03-25",NA,6.10122874493927,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM20CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,1,"Retailer","Target",NA,11088.2142857143,0,NA,9.71993358381807,9.71993358381807,0.00666163055400851,0,0,0,0.59454,1.24635365846736,0.00666163055400851,0.00666163055400851,32,0,5754.63772754337,5750.72029037728,2,NA,NA,NA,NA,NA,NA,3.91743716608783,55450.4213363735,38.0772290731537,47269.1488988347,0,36194.5881717142,47269.1488988347,10614.5534022432,10614.5534022432,0,67.2463943007377,38.0772290731537,NA,NA,446.197945208639,9.7134129061968,"2022-12-31",NA,6.3230178761233,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM20CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,1,0,"Retailer","Target",NA,6919.61538461538,0,NA,9.71993358381807,9.71993358381807,0,0,0,0,0.59454,1.1597648759615,0,0,28.9230769230769,0,5605.07619437743,5605.07619437743,2,NA,NA,NA,NA,NA,NA,0,54355.634338611,0,36826.7568251631,0,34844.7402912924,36826.7568251631,1969.36931608401,1969.36931608401,0,0,0,NA,NA,125.334002977298,9.69760753387446,"2022-09-24",NA,6.24259429714857,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM20CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",1,0,0,"ROM","Target",NA,NA,NA,NA,9.85083632464595,9.85083632464595,0,0,0,0,0.438215,1.12438979407232,0,0,29.6153846153846,0,71591.2145177801,71591.2145177801,2,NA,NA,NA,NA,NA,NA,0,705233.336497269,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,9.85083632464595,"2023-04-22",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM20CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,0,"ROM","Target",NA,NA,NA,NA,9.85083632464595,9.85083632464595,0,0,0,0,0.438215,1.16913192627193,0,0,35,0,70458.2464893104,70458.2464893104,2,NA,NA,NA,NA,NA,NA,0,694072.653887757,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,9.85083632464595,"2023-03-25",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM20CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,1,"ROM","Target",NA,NA,NA,NA,9.85083632464595,9.85083632464595,0,0,0,0,0.438215,1.24635365846736,0,0,32,0,75172.8505704353,75172.8505704353,2,NA,NA,NA,NA,NA,NA,0,740515.447026426,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,9.85083632464595,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM20CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,1,0,"ROM","Target",NA,NA,NA,NA,9.85083632464595,9.85083632464595,0,0,0,0,0.438215,1.1597648759615,0,0,28.9230769230769,0,72497.270443354,72497.270443354,2,NA,NA,NA,NA,NA,NA,0,714158.745121073,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,9.85083632464595,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM22CTFANCYFEASTDUOSCR_ROM","CT FANCY FEAST DUOS CR 02.1OZ","Cat Treats","NPP",1,0,0,"ROM","Target",NA,NA,NA,NA,1.71067827460677,1.71067827460677,0,0,0,0,0.00007,1.12438979407232,0,0,29.6153846153846,0,0.642955442597849,0.642955442597849,1,NA,NA,NA,NA,NA,NA,0,1.09988990719232,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.71067827460677,"2023-04-22",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM22CTFANCYFEASTDUOSCR_ROM","CT FANCY FEAST DUOS CR 02.1OZ","Cat Treats","NPP",0,0,0,"ROM","Target",NA,NA,NA,NA,1.71067827460677,1.71067827460677,0,0,0,0,0.00007,1.16913192627193,0,0,35,0,0.067761216676255,0.067761216676255,1,NA,NA,NA,NA,NA,NA,0,0.115917641228991,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.71067827460677,"2023-03-25",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM22CTFANCYFEASTDUOSCR_ROM","CT FANCY FEAST DUOS CR 02.1OZ","Cat Treats","NPP",0,0,1,"ROM","Target",NA,NA,NA,NA,1.71067827460677,1.71067827460677,0,0,0,0,0.00007,1.24635365846736,0,0,32,0,0.167576824502589,0.167576824502589,1,NA,NA,NA,NA,NA,NA,0,0.286670033004171,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.71067827460677,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
