"","Cannibal_PPG","Date","box","Cannibalised_PPG","Model_flag","Cannibal_PPG_Description","Category","Retailer","Cannibal_Doll","Cannibal_dollars_on_predicted"
"27","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2021-09-04","Within","CT WHISKER LICKINS AO",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Target",30.5155012589261,0
"28","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2021-09-25","Within","CT WHISKER LICKINS AO",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Target",0,3.26939762420382
"29","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2021-11-27","Within","Pantry Loading",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Target",1178.4407729128,1178.4407729128
"30","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2022-01-01","Within","Pantry Loading",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Target",3362.27392281932,0
"31","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2022-02-19","Within","CT WHISKER LICKINS AO",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Target",467.33757412557,0
"32","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2022-02-19","Within","Pantry Loading",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Target",331.994316057038,0
"33","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2022-02-26","Within","CT WHISKER LICKINS AO",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Target",64.5979140912416,0
"34","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2022-02-26","Within","Pantry Loading",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Target",51.5418311660385,0
"35","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2022-03-26","Within","CT WHISKER LICKINS AO",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Target",0,117.391468335273
"36","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2022-04-02","Within","CT WHISKER LICKINS AO",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Target",0,28.6302380940788
"37","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2022-04-09","Within","CT WHISKER LICKINS AO",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Target",0,22.9777324913284
"38","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2022-04-16","Within","CT WHISKER LICKINS AO",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Target",0,34.0627156216727
"39","ITEM2CTFRISKIESPARTYMIXCR_Retailer","2022-04-16","Within","Pantry Loading",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Target",0,534.141641955605
