"PPG_Item_No","PPG_Cat","PPG_Item","MFG","Market","Retailer","Model_flag","PPG_Brand"
"ITEM1107DDPROPLANSPORTPERFORM","Dry Dog","DD PRO PLAN SPORT PERFORM 37.5LB","NPP","ROM","Target",1,"Pro Plan"
"ITEM1108CLTIDYCATSCLUMPNONLWPAIL","Litter","CL TIDY CATS CLUMP NON-LW PAIL 38LB","NPP","ROM","Target",1,"Tidy Cats"
"ITEM1109CLTIDYCATSCLUMPNONLW","Litter","CL TIDY CATS CLUMP NON-LW 10LB","NPP","ROM","Target",1,"Tidy Cats"
"ITEM1109DDBEYONDSMP","Dry Dog","DD BEYOND SMP9 14.5-15.5LB","NPP","Retailer","Target",0,"Beyond"
"ITEM1109DDBEYONDSMP","Dry Dog","DD BEYOND SMP9 14.5-15.5LB","NPP","ROM","Target",1,"Beyond"
"ITEM1111CLTIDYCATSBREEZEENHANCEDPELLETS","Litter","CL TIDY CATS BREEZE ENHANCED PELLETS 03.5LB","NPP","ROM","Target",1,"Tidy Cats"
"ITEM1113CLTIDYCATSCLUMPLW","Litter","CL TIDY CATS CLUMP LW 19.5LB","NPP","ROM","Target",1,"Tidy Cats"
"ITEM1116CLTIDYCATSCLUMPLW","Litter","CL TIDY CATS CLUMP LW 06LB","NPP","ROM","Target",1,"Tidy Cats"
"ITEM1116DDPURINAONETRUINSTGF","Dry Dog","DD PURINA ONE TRU INST GF 03LB","NPP","ROM","Target",1,"Purina One"
"ITEM1116DTPIONEERWOMANMT","Dog Treats","DT PIONEER WOMAN MT 16OZ","NPP","ROM","Target",1,"Pioneer Woman"
"ITEM1117CLTIDYCATSNATSTRGNONCLUMP","Litter","CL TIDY CATS NAT STRG CLUMP 14LB","NPP","ROM","Target",1,"Tidy Cats"
"ITEM1117DDALPO","Dry Dog","DD ALPO 01LB","NPP","ROM","Target",1,"Alpo"
"ITEM1117DTPIONEERWOMANMT","Dog Treats","DT PIONEER WOMAN MT 30OZ","NPP","ROM","Target",1,"Pioneer Woman"
"ITEM1118CLTIDYCATSPURENATUREALT","Litter","CL TIDY CATS PURE NATURE ALT 07.5LB","NPP","ROM","Target",1,"Tidy Cats"
"ITEM1118DTPIONEERWOMANMT","Dog Treats","DT PIONEER WOMAN MT 05OZ","NPP","ROM","Target",1,"Pioneer Woman"
"ITEM1119CLYESTERDAYSNEWSALT","Litter","CL YESTERDAYS NEWS ALT 13.2LB","NPP","ROM","Target",1,"Yesterday's News"
"ITEM1120CLYESTERDAYSNEWSALT","Litter","CL YESTERDAYS NEWS ALT 15LB","NPP","ROM","Target",1,"Yesterday's News"
"ITEM1120DTPRIMEBONESCW","Dog Treats","DT PRIME BONES CW 02.4OZ","NPP","ROM","Target",1,"Prime"
"ITEM1121DTPRIMEBONESCW","Dog Treats","DT PRIME BONES CW 39.7OZ","NPP","ROM","Target",1,"Prime"
"ITEM1122DDMOISTANDMEATY","Dry Dog","DD MOIST AND MEATY 012OZ","NPP","ROM","Target",1,"Moist & Meaty"
"ITEM1124CLYESTERDAYSNEWALT","Litter","CL YESTERDAYS NEW ALT 10LB","NPP","ROM","Target",1,"Yesterday's News"
"ITEM1125CLYESTERDAYSNEWALT","Litter","CL YESTERDAYS NEW ALT 20LB","NPP","ROM","Target",1,"Yesterday's News"
"ITEM1128DDDOGCHOWGREENBG","Dry Dog","DD DOG CHOW GREEN BG 01LB","NPP","ROM","Target",1,"Dog Chow Line"
"ITEM1136DTPUPPYCHOWMT","Dog Treats","DT PUPPY CHOW MT 07OZ","NPP","ROM","Target",2,"Dog Chow Line"
"ITEM1138DTPURINAONETRUEINSTMT","Dog Treats","DT PURINA ONE TRUE INST MT 07OZ","NPP","ROM","Target",1,"Purina One"
"ITEM1139DTPURINAONETRUEINSTMT","Dog Treats","DT PURINA ONE TRUE INST MT 20OZ","NPP","ROM","Target",1,"Purina One"
"ITEM1144DDPURINAONETRUINSTGF","Dry Dog","DD PURINA ONE TRU INST GF 12.5LB","NPP","Retailer","Target",0,"Purina One"
"ITEM1144DDPURINAONETRUINSTGF","Dry Dog","DD PURINA ONE TRU INST GF 12.5LB","NPP","ROM","Target",1,"Purina One"
"ITEM1146DDPUPPYCHOW","Dry Dog","DD PUPPY CHOW 01LB","NPP","ROM","Target",1,"Dog Chow Line"
"ITEM114CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ 36CT","NPP","ROM","Target",1,"Fancy Feast"
"ITEM1162DDBELLA","Dry Dog","DD BELLA 12LB","NPP","ROM","Target",1,"Bella"
"ITEM1170DDBENEFULMLHWM","Dry Dog","DD BENEFUL 40LB","NPP","Retailer","Target",2,"Beneful"
"ITEM1170DDBENEFULMLHWM","Dry Dog","DD BENEFUL 40LB","NPP","ROM","Target",2,"Beneful"
"ITEM1171DDPURINAONEML","Dry Dog","DD PURINA ONE ML 03LB","NPP","ROM","Target",1,"Purina One"
"ITEM1175DDPURINAONETRUINST","Dry Dog","DD PURINA ONE TRU INST 15LB","NPP","Retailer","Target",2,"Purina One"
"ITEM1175DDPURINAONETRUINST","Dry Dog","DD PURINA ONE TRU INST 15LB","NPP","ROM","Target",2,"Purina One"
"ITEM1182DDPURINAONEML","Dry Dog","DD PURINA ONE ML 16.5LB","NPP","Retailer","Target",2,"Purina One"
"ITEM1182DDPURINAONEML","Dry Dog","DD PURINA ONE ML 16.5LB","NPP","ROM","Target",2,"Purina One"
"ITEM1195DDPURINAONEML","Dry Dog","DD PURINA ONE ML 40LB","NPP","Retailer","Target",2,"Purina One"
"ITEM1195DDPURINAONEML","Dry Dog","DD PURINA ONE ML 40LB","NPP","ROM","Target",2,"Purina One"
"ITEM119FANCYFEAST","Dry Cat","DC FANCY FEAST 07LB","NPP","Retailer","Target",1,"Fancy Feast"
"ITEM119FANCYFEAST","Dry Cat","DC FANCY FEAST 07LB","NPP","ROM","Target",2,"Fancy Feast"
"ITEM119PURINAONE","Wet Dog","DW PURINA ONE 13OZ","NPP","Retailer","Target",2,"Purina One"
"ITEM119PURINAONE","Wet Dog","DW PURINA ONE 13OZ","NPP","ROM","Target",2,"Purina One"
"ITEM11CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 24CT","NPP","Retailer","Target",2,"Friskies"
"ITEM11CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 24CT","NPP","ROM","Target",2,"Friskies"
"ITEM1202DDDOGCHOWLX","Dry Dog","DD DOG CHOW LX 13.5LB","NPP","ROM","Target",1,"Dog Chow Line"
"ITEM1208DDDOGCHOWGREENBG","Dry Dog","DD DOG CHOW GREEN BG 04LB","NPP","ROM","Target",1,"Dog Chow Line"
"ITEM1211DDDOGCHOWGREENBG","Dry Dog","DD DOG CHOW GREEN BG 57LB","NPP","ROM","Target",1,"Dog Chow Line"
"ITEM1213DDBELLA","Dry Dog","DD BELLA 03LB","NPP","ROM","Target",1,"Bella"
"ITEM1216DDPURINAONETRUINST","Dry Dog","DD PURINA ONE TRU INST 12LB","NPP","ROM","Target",1,"Purina One"
"ITEM1217DDPURINAONETRUINST","Dry Dog","DD PURINA ONE TRU INST 40LB","NPP","ROM","Target",1,"Purina One"
"ITEM1220DDDOGCHOWGREENBG","Dry Dog","DD DOG CHOW GREEN BG 14LB","NPP","ROM","Target",1,"Dog Chow Line"
"ITEM1221DDMOISTANDMEATY","Dry Dog","DD MOIST AND MEATY 036OZ","NPP","ROM","Target",1,"Moist & Meaty"
"ITEM1223DDALPO","Dry Dog","DD ALPO 14LB","NPP","ROM","Target",1,"Alpo"
"ITEM1224DDMOISTANDMEATY","Dry Dog","DD MOIST AND MEATY 360OZ","NPP","ROM","Target",1,"Moist & Meaty"
"ITEM1225DDBENEFUL","Dry Dog","DD BENEFUL 48LB","NPP","ROM","Target",1,"Beneful"
"ITEM1229DDPURINAONEML","Dry Dog","DD PURINA ONE ML 44LB","NPP","ROM","Target",1,"Purina One"
"ITEM122TBONZMT","Dog Treats","DT T BONZ MT 04.5OZ","NPP","Retailer","Target",0,"Alpo"
"ITEM122TBONZMT","Dog Treats","DT T BONZ MT 04.5OZ","NPP","ROM","Target",1,"Alpo"
"ITEM1232DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 15LB","NPP","Retailer","Target",1,"Purina One"
"ITEM123CWFRISKIES","Wet Cat","CW FRISKIES 03OZ 12CT","NPP","Retailer","Target",1,"Friskies"
"ITEM123CWFRISKIES","Wet Cat","CW FRISKIES 03OZ 12CT","NPP","ROM","Target",1,"Friskies"
"ITEM1254DDPURINAONETRUINSTHIPRO","Dry Dog","DD PURINA ONE TRU INST HI-PRO 27.5LB","NPP","Retailer","Target",1,"Purina One"
"ITEM1254DDPURINAONETRUINSTHIPRO","Dry Dog","DD PURINA ONE TRU INST HI-PRO 27.5LB","NPP","ROM","Target",1,"Purina One"
"ITEM1255DDPURINAONETRUINSTHIPRO","Dry Dog","DD PURINA ONE TRU INST HI-PRO 15LB","NPP","Retailer","Target",1,"Purina One"
"ITEM1255DDPURINAONETRUINSTHIPRO","Dry Dog","DD PURINA ONE TRU INST HI-PRO 15LB","NPP","ROM","Target",2,"Purina One"
"ITEM126CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 48CT","NPP","ROM","Target",1,"Friskies"
"ITEM1270DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 16.5LB","NPP","Retailer","Target",2,"Purina One"
"ITEM1270DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 16.5LB","NPP","ROM","Target",2,"Purina One"
"ITEM1271DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 07.4-8LB","NPP","Retailer","Target",2,"Purina One"
"ITEM1271DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 07.4-8LB","NPP","ROM","Target",2,"Purina One"
"ITEM1274DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 31.1LB","NPP","Retailer","Target",2,"Purina One"
"ITEM1274DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 31.1LB","NPP","ROM","Target",1,"Purina One"
"ITEM1283DDDOGCHOWHIPROTEIN","Dry Dog","DD DOG CHOW HI PROTEIN 20LB","NPP","ROM","Target",1,"Dog Chow Line"
"ITEM1284DDDOGCHOWHIPROTEIN","Dry Dog","DD DOG CHOW HI PROTEIN 03.5LB","NPP","ROM","Target",1,"Dog Chow Line"
"ITEM1293DDPURINAONEMLPUPPY","Dry Dog","DD PURINA ONE ML PUPPY 03LB","NPP","ROM","Target",1,"Purina One"
"ITEM1298DDBEYONDORGANIC","Dry Dog","DD BEYOND ORGANIC 06LB","NPP","ROM","Target",1,"Beyond"
"ITEM1299DTZUKESPETSUPPLEMENT","Dog Treats","DT ZUKE'S PET SUPPLEMENT 05OZ","NPP","ROM","Target",1,"Zuke's"
