"Modelled_PPG_Item_No","PPG_Cat","Retailer","PPG_Item","Regular_Price","Promoted_Discount","Pantry_Loading_1","Pantry_Loading_2","ACV_Selling","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","category_trend","flag_qtr2","flag_qtr3","flag_qtr4","monthno","WB_Comp_RP_1","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_1","CB_Comp_TPR_2","Intercept","Market","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_TPR_3","WB_Comp_Interaction_RP_1","CB_Comp_TPR_4","WB_Comp_RP_5","WB_Comp_RP_6","WB_Comp_RP_7","CB_Comp_RP_6","CB_Comp_TPR_5","CB_Comp_TPR_6","CB_Comp_TPR_7","Model_flag"
"ITEM1045DDALPO_ROM","Dry Dog","Target","DD ALPO 04LB",0,0,-4.76573977290605,-5.97223417735734,10,10,10,10,-4.68838414162262,0,0,0,-0.0718473977942806,0,0,0,0,0,0,14.0843852299078,"ROM",0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,1
"ITEM104ALPO_ROM","Wet Dog","Target","DW ALPO 13.2OZ 12CT",-2.5,0,0,0,10,10,0,10,-1.35131590333259,0,0,0,-0.0130911790846158,0,0,0,0,0,0,16.4472388181286,"ROM",0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1052DDPROPLANBRIGHTMINDS_ROM","Dry Dog","Target","DD PRO PLAN BRIGHT MINDS 04-5LB",0,0.632166838691195,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18416394815491,"ROM",0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,1
"ITEM1064DDBEYONDGRFR_Retailer","Dry Dog","Target","DD BEYOND GR FR 23LB",-0.575430642553189,0.1,-0.516753154713908,-0.425531306824337,0.1,0,4.2737623632225,6.0658181289456,-0.0202136839553881,-0.0899307967757178,-0.170106218752874,-0.12137156451983,-0.000327677764551068,0,0,0,0,0,0,3.27548898865578,"Retailer",0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"ITEM1064DDBEYONDGRFR_ROM","Dry Dog","Target","DD BEYOND GR FR 23LB",0,0.308727259710498,-0.337201763317869,-0.419111029665509,0,1.9532406248385,10,0,0,0,0,0,0,0,0,0,0,0,0,4.07112584168412,"ROM",0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,1
"ITEM1075DDPUPPYCHOW_Retailer","Dry Dog","Target","DD PUPPY CHOW 16.5LB",-0.224818710338705,1.18629256302122,-0.452431541789771,0,2.17605677511238,0.0661457374394616,0,0,0.418286397553792,0,0,0,0,0,0,0.544437226992228,0,0,0,5.38475330797303,"Retailer",0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,2
"ITEM1075DDPUPPYCHOW_ROM","Dry Dog","Target","DD PUPPY CHOW 16.5LB",-0.429988114576693,0,0,0,0,0,2.25431256968694,8.94807723445254,0.817291284066649,0,-0.00638605130045392,-0.0118275858774103,0,0,-0.0643751376283734,0,0,-0.0124086709162377,-0.00346738776660427,11.6896766470784,"ROM",0,0,0,0,0,0,NA,0,0,0,-0.0302354553231784,NA,0,0,0,0,0,0,0,0,2
"ITEM1076DDDOGCHOWGREENBG_Retailer","Dry Dog","Target","DD DOG CHOW GREEN BG 42-46LB",-0.969279800425164,1.63351686129563,-0.81562788798848,0,2.06677285067279,0.0986362627228559,0,0,0.958024246994284,0,0,0,0,0,0,0,0,0,0,9.10624158324904,"Retailer",0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
"ITEM1076DDDOGCHOWGREENBG_ROM","Dry Dog","Target","DD DOG CHOW GREEN BG 42-46LB",-0.0937557286814331,2.12115905658983,0,0,10,5.5455425731642,2.90369390513412,10,0.795771540471184,0,0,0,0,0,0,0,0,0,0,7.90369563951332,"ROM",0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
"ITEM1077DDBENEFULPREMIUM_Retailer","Dry Dog","Target","DD BENEFUL PREMIUM 09.4-12.5LB",-1.08544769426204,4.74822067080911,-1.56370261701147,-2.58847413434446,10,0,0,0,-0.160159008921891,0,0,0,0,0,-4.11668414021319,0,0,0,0,5.75811501079857,"Retailer",0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,1
